hidden_dim,lr,epochs,batch_size,dropout,accuracy,f1_score
128.0,0.001,10.0,32.0,0.3,0.8,0.7450980392156862
256.0,0.0005,20.0,32.0,0.3,0.8,0.7450980392156862
256.0,0.001,20.0,64.0,0.3,0.8,0.7450980392156862
128.0,0.0005,10.0,32.0,0.2,0.8,0.7450980392156862
256.0,0.0005,20.0,64.0,0.2,0.8,0.7450980392156862
128.0,0.0005,20.0,32.0,0.2,0.8,0.7450980392156862
256.0,0.0005,20.0,32.0,0.2,0.8,0.7450980392156862
256.0,0.001,10.0,32.0,0.3,0.8,0.7450980392156862
256.0,0.001,20.0,32.0,0.3,0.8,0.7450980392156862
128.0,0.001,20.0,32.0,0.3,0.75,0.6428571428571428
128.0,0.0005,20.0,32.0,0.3,0.75,0.6428571428571428
128.0,0.0005,10.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.001,10.0,64.0,0.3,0.75,0.6428571428571428
256.0,0.001,10.0,64.0,0.3,0.75,0.6428571428571428
256.0,0.0005,10.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.001,20.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.0005,20.0,64.0,0.3,0.75,0.6428571428571428
256.0,0.0005,10.0,32.0,0.3,0.75,0.6428571428571428
128.0,0.001,10.0,32.0,0.2,0.75,0.6428571428571428
128.0,0.0005,10.0,32.0,0.3,0.75,0.6428571428571428
256.0,0.001,20.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.0005,20.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.001,20.0,64.0,0.2,0.75,0.6428571428571428
256.0,0.0005,10.0,64.0,0.2,0.75,0.6428571428571428
256.0,0.001,10.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.0005,10.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.001,10.0,64.0,0.2,0.75,0.6428571428571428
256.0,0.001,20.0,32.0,0.2,0.75,0.6428571428571428
128.0,0.001,20.0,32.0,0.2,0.75,0.6428571428571428
256.0,0.0005,10.0,32.0,0.2,0.75,0.6428571428571428
256.0,0.001,10.0,32.0,0.2,0.75,0.6428571428571428
256.0,0.0005,20.0,64.0,0.3,0.75,0.6428571428571428
