hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.001,20.0,32.0,0.2,4.0,2.0,0.7777777777777778,0.7592592592592593,0.8250000000000001
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.7777777777777778,0.7592592592592593,0.8250000000000001
128.0,0.001,10.0,32.0,0.2,8.0,4.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.6666666666666666,0.658008658008658,0.675
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.6666666666666666,0.658008658008658,0.7
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.6666666666666666,0.658008658008658,0.6500000000000001
128.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.6666666666666666,0.658008658008658,0.675
128.0,0.001,10.0,32.0,0.2,8.0,6.0,0.6666666666666666,0.658008658008658,0.65
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.6666666666666666,0.658008658008658,0.675
128.0,0.001,20.0,32.0,0.3,8.0,2.0,0.6666666666666666,0.658008658008658,0.7500000000000001
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.6666666666666666,0.658008658008658,0.675
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.6666666666666666,0.658008658008658,0.6500000000000001
256.0,0.001,20.0,32.0,0.3,4.0,2.0,0.6666666666666666,0.658008658008658,0.675
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.6666666666666666,0.6051282051282052,0.75
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.5555555555555556,0.5555555555555556,0.6000000000000001
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.5555555555555556,0.5555555555555556,0.5249999999999999
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.5555555555555556,0.5555555555555556,0.44999999999999996
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.5555555555555556,0.5555555555555556,0.5499999999999999
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.5555555555555556,0.5555555555555556,0.5
256.0,0.001,10.0,32.0,0.2,4.0,4.0,0.5555555555555556,0.5555555555555556,0.5249999999999999
128.0,0.001,20.0,32.0,0.2,8.0,4.0,0.5555555555555556,0.5555555555555556,0.44999999999999996
128.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.5555555555555556,0.5555555555555556,0.5249999999999999
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.5555555555555556,0.5555555555555556,0.5249999999999999
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.5555555555555556,0.5555555555555556,0.5249999999999999
256.0,0.001,20.0,64.0,0.2,8.0,2.0,0.5555555555555556,0.5444444444444445,0.475
256.0,0.001,10.0,32.0,0.3,4.0,6.0,0.5555555555555556,0.5444444444444445,0.475
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.4444444444444444,0.4444444444444444,0.30000000000000004
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.4444444444444444,0.4444444444444444,0.42500000000000004
256.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.4444444444444444,0.4444444444444444,0.375
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.4444444444444444,0.4444444444444444,0.375
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.4444444444444444,0.4444444444444444,0.375
128.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.4444444444444444,0.4444444444444444,0.375
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.4444444444444444,0.4444444444444444,0.375
128.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.4444444444444444,0.4444444444444444,0.4
256.0,0.001,20.0,64.0,0.2,4.0,2.0,0.4444444444444444,0.4444444444444444,0.375
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.4444444444444444,0.4011544011544011,0.29999999999999993
128.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.4444444444444444,0.4011544011544011,0.35000000000000003
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.4444444444444444,0.4011544011544011,0.42500000000000004
256.0,0.001,20.0,32.0,0.3,8.0,6.0,0.5555555555555556,0.39682539682539686,0.5
256.0,0.001,20.0,32.0,0.3,8.0,2.0,0.5555555555555556,0.39682539682539686,0.5
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.5555555555555556,0.39682539682539686,0.5
256.0,0.001,20.0,32.0,0.2,8.0,2.0,0.5555555555555556,0.39682539682539686,0.5
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.375
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.2
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.375
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.375
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.2
128.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.375
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.14999999999999997
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.31666666666666665,0.375
128.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.2
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,32.0,0.2,8.0,6.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.375
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.31666666666666665,0.2
128.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.39999999999999997
256.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,20.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.001,10.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,10.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
128.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.3333333333333333,0.31666666666666665,0.2
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.001,20.0,64.0,0.3,4.0,2.0,0.3333333333333333,0.31666666666666665,0.2
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
256.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.3333333333333333,0.31666666666666665,0.2
256.0,0.001,10.0,32.0,0.2,4.0,2.0,0.3333333333333333,0.31666666666666665,0.24999999999999997
