hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.001,10.0,32.0,0.2,4.0,2.0,0.7272727272727273,0.6695187165775401,0.625
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.7272727272727273,0.6695187165775401,0.6964285714285714
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.6363636363636364,0.6363636363636364,0.6785714285714286
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.001,20.0,64.0,0.2,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.001,10.0,32.0,0.2,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.001,20.0,64.0,0.3,4.0,2.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
256.0,0.001,10.0,32.0,0.3,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5357142857142858
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5357142857142858
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.001,20.0,32.0,0.3,8.0,2.0,0.6363636363636364,0.5984848484848485,0.5357142857142858
256.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.001,20.0,64.0,0.3,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.001,20.0,32.0,0.3,4.0,2.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.6363636363636364,0.5984848484848485,0.5714285714285715
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.6363636363636364,0.5984848484848485,0.5535714285714287
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.5454545454545454,0.528138528138528,0.4642857142857143
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
128.0,0.001,20.0,64.0,0.3,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.6363636363636364,0.494949494949495,0.5
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.6363636363636364,0.494949494949495,0.5
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
256.0,0.001,20.0,32.0,0.2,4.0,4.0,0.6363636363636364,0.494949494949495,0.5
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.6363636363636364,0.494949494949495,0.5
