hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.7727272727272727,0.4444444444444444,0.7777777777777778
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.7727272727272727,0.4444444444444444,0.8055555555555556
128.0,0.001,10.0,32.0,0.3,4.0,4.0,0.7727272727272727,0.4444444444444444,0.8055555555555556
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.001,20.0,32.0,0.3,4.0,4.0,0.7727272727272727,0.4444444444444444,0.8055555555555556
256.0,0.001,10.0,64.0,0.3,4.0,4.0,0.7727272727272727,0.4444444444444444,0.763888888888889
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.7727272727272727,0.4444444444444444,0.7916666666666666
128.0,0.001,10.0,64.0,0.2,8.0,4.0,0.7727272727272727,0.4444444444444444,0.7777777777777778
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.7727272727272727,0.4444444444444444,0.763888888888889
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.7727272727272727,0.4444444444444444,0.8055555555555556
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.7727272727272727,0.4444444444444444,0.763888888888889
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.4444444444444444,0.763888888888889
128.0,0.001,10.0,64.0,0.3,8.0,2.0,0.7727272727272727,0.4444444444444444,0.7777777777777779
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.7727272727272727,0.4444444444444444,0.75
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.7727272727272727,0.4444444444444444,0.8055555555555556
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.7727272727272727,0.4444444444444444,0.7777777777777778
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
128.0,0.001,10.0,64.0,0.3,4.0,6.0,0.7727272727272727,0.4444444444444444,0.763888888888889
256.0,0.001,10.0,32.0,0.2,8.0,6.0,0.7727272727272727,0.4444444444444444,0.763888888888889
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.7727272727272727,0.4444444444444444,0.8333333333333334
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.7727272727272727,0.4444444444444444,0.7777777777777778
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.7727272727272727,0.4444444444444444,0.7777777777777779
128.0,0.001,20.0,32.0,0.3,4.0,2.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
128.0,0.001,10.0,64.0,0.2,4.0,2.0,0.7727272727272727,0.4444444444444444,0.8194444444444444
128.0,0.001,20.0,32.0,0.2,4.0,2.0,0.7727272727272727,0.4444444444444444,0.7777777777777778
256.0,0.001,10.0,64.0,0.3,4.0,2.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
256.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.7727272727272727,0.4444444444444444,0.7916666666666667
128.0,0.001,20.0,64.0,0.3,4.0,2.0,0.8636363636363636,0.4,0.6111111111111112
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8636363636363636,0.4,0.7638888888888888
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.7361111111111112
128.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.8055555555555556
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.8194444444444444
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.5694444444444444
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.7916666666666667
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.7272727272727273,0.4,0.7361111111111112
256.0,0.001,20.0,64.0,0.3,4.0,4.0,0.8636363636363636,0.4,0.625
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.7272727272727273,0.4,0.7361111111111112
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.8636363636363636,0.4,0.5972222222222222
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.8636363636363636,0.4,0.75
128.0,0.001,10.0,64.0,0.3,4.0,4.0,0.7272727272727273,0.4,0.75
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.8636363636363636,0.4,0.8194444444444444
256.0,0.001,20.0,32.0,0.3,4.0,2.0,0.8636363636363636,0.4,0.6944444444444444
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.8636363636363636,0.4,0.6111111111111112
256.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.8636363636363636,0.4,0.7083333333333333
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8636363636363636,0.4,0.8055555555555556
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.8636363636363636,0.4,0.7361111111111112
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.8636363636363636,0.4,0.7638888888888888
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.7638888888888888
256.0,0.001,10.0,32.0,0.2,4.0,2.0,0.7272727272727273,0.4,0.75
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.8636363636363636,0.4,0.7916666666666666
256.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.8636363636363636,0.4,0.625
256.0,0.001,20.0,32.0,0.3,8.0,6.0,0.8636363636363636,0.4,0.7083333333333333
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.8636363636363636,0.4,0.7361111111111112
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.8636363636363636,0.4,0.8055555555555556
256.0,0.001,20.0,32.0,0.2,4.0,2.0,0.8636363636363636,0.4,0.7083333333333333
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.8636363636363636,0.4,0.7222222222222222
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.001,10.0,32.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.8194444444444444
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.8055555555555556
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.8636363636363636,0.4,0.8055555555555556
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8636363636363636,0.4,0.7916666666666667
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.8636363636363636,0.4,0.6944444444444444
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.001,10.0,64.0,0.2,4.0,2.0,0.8636363636363636,0.4,0.7916666666666667
128.0,0.001,10.0,64.0,0.3,4.0,2.0,0.8636363636363636,0.4,0.8194444444444444
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.5555555555555556
128.0,0.001,10.0,32.0,0.2,8.0,4.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.001,20.0,64.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.6527777777777778
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.8055555555555556
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.8636363636363636,0.4,0.7777777777777777
256.0,0.001,20.0,32.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.8194444444444444
128.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.6527777777777778
128.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.8636363636363636,0.4,0.7222222222222222
128.0,0.001,10.0,32.0,0.2,8.0,2.0,0.8636363636363636,0.4,0.7916666666666667
128.0,0.001,10.0,64.0,0.2,8.0,2.0,0.8636363636363636,0.4,0.8055555555555556
256.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.8636363636363636,0.4,0.7083333333333333
256.0,0.001,10.0,32.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.8194444444444444
128.0,0.001,10.0,64.0,0.2,4.0,4.0,0.8636363636363636,0.4,0.8055555555555556
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.8636363636363636,0.4,0.625
256.0,0.001,10.0,64.0,0.2,8.0,2.0,0.8636363636363636,0.4,0.8194444444444444
128.0,0.001,20.0,64.0,0.2,8.0,2.0,0.8636363636363636,0.4,0.7222222222222222
128.0,0.001,10.0,32.0,0.3,8.0,2.0,0.8636363636363636,0.4,0.7916666666666667
256.0,0.001,20.0,32.0,0.2,8.0,2.0,0.6818181818181818,0.36363636363636365,0.7222222222222222
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.5,0.35294117647058826,0.6666666666666666
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.5,0.35294117647058826,0.6666666666666666
256.0,0.001,20.0,64.0,0.2,8.0,2.0,0.5,0.35294117647058826,0.6666666666666666
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.763888888888889
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7777777777777777
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.625
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.8181818181818182,0.3333333333333333,0.5694444444444444
128.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.5555555555555556
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.7083333333333333
128.0,0.001,20.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.7083333333333333
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.6527777777777778
256.0,0.001,20.0,64.0,0.3,4.0,2.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
128.0,0.001,20.0,64.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.5972222222222222
256.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.75
128.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.5972222222222222
256.0,0.001,20.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.5277777777777778
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.75
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.6527777777777777
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.75
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.6666666666666666
128.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.001,20.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.5277777777777778
128.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.8181818181818182,0.3333333333333333,0.5972222222222222
128.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7777777777777777
256.0,0.001,10.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.611111111111111
128.0,0.001,20.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.3333333333333333,0.6111111111111112
128.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.001,10.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7916666666666666
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.625
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.763888888888889
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.7083333333333333
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
256.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.7361111111111112
128.0,0.001,10.0,32.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.75
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.6805555555555556
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.3333333333333333,0.6805555555555556
256.0,0.001,20.0,64.0,0.3,4.0,6.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
128.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.8181818181818182,0.3333333333333333,0.5833333333333334
256.0,0.001,10.0,64.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.3333333333333333,0.75
256.0,0.001,10.0,32.0,0.3,4.0,2.0,0.8181818181818182,0.3333333333333333,0.7222222222222222
128.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.8181818181818182,0.3333333333333333,0.6666666666666666
256.0,0.001,10.0,64.0,0.3,8.0,2.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
128.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.8181818181818182,0.3333333333333333,0.6805555555555556
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.8181818181818182,0.3333333333333333,0.75
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.8181818181818182,0.3333333333333333,0.5833333333333334
256.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.8181818181818182,0.3333333333333333,0.7777777777777778
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.763888888888889
128.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.75
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.001,10.0,32.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7361111111111112
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.6944444444444444
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7638888888888888
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7083333333333333
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7083333333333334
128.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.8181818181818182,0.3333333333333333,0.7222222222222222
