hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.8333333333333334,0.4,0.9191919191919192
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.8333333333333334,0.4,0.8686868686868687
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.9166666666666666,0.4,0.8787878787878788
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.8055555555555556,0.36363636363636365,0.8484848484848484
256.0,0.001,10.0,32.0,0.3,4.0,2.0,0.8888888888888888,0.3333333333333333,0.8787878787878788
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.8888888888888888,0.3333333333333333,0.8585858585858587
256.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.7777777777777778,0.3333333333333333,0.8282828282828283
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.75,0.3076923076923077,0.8282828282828283
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.75,0.3076923076923077,0.8282828282828283
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.7222222222222222,0.2857142857142857,0.7777777777777778
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.8611111111111112,0.2857142857142857,0.8585858585858586
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.7222222222222222,0.2857142857142857,0.787878787878788
128.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.7222222222222222,0.2857142857142857,0.8181818181818181
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.6944444444444444,0.26666666666666666,0.7474747474747475
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.6944444444444444,0.26666666666666666,0.787878787878788
256.0,0.001,10.0,64.0,0.3,4.0,4.0,0.6666666666666666,0.25,0.8131313131313131
256.0,0.001,10.0,32.0,0.2,4.0,4.0,0.8333333333333334,0.25,0.8282828282828283
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.8333333333333334,0.25,0.8383838383838385
256.0,0.001,10.0,32.0,0.3,8.0,2.0,0.6388888888888888,0.23529411764705882,0.7777777777777778
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.6388888888888888,0.23529411764705882,0.7878787878787878
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.6388888888888888,0.23529411764705882,0.7373737373737373
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.6388888888888888,0.23529411764705882,0.8080808080808081
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.6111111111111112,0.2222222222222222,0.7070707070707071
128.0,0.001,10.0,64.0,0.2,4.0,2.0,0.6111111111111112,0.2222222222222222,0.7676767676767677
256.0,0.001,20.0,64.0,0.3,8.0,6.0,0.6111111111111112,0.2222222222222222,0.7676767676767677
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.6111111111111112,0.2222222222222222,0.7474747474747474
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.6111111111111112,0.2222222222222222,0.6868686868686869
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.5833333333333334,0.21052631578947367,0.707070707070707
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.5555555555555556,0.2,0.6666666666666666
256.0,0.001,10.0,64.0,0.2,4.0,4.0,0.5555555555555556,0.2,0.7222222222222221
256.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.5555555555555556,0.2,0.717171717171717
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.5277777777777778,0.19047619047619047,0.6060606060606061
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.5277777777777778,0.19047619047619047,0.6868686868686869
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.75,0.18181818181818182,0.6767676767676767
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.4722222222222222,0.17391304347826086,0.5353535353535354
128.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.4444444444444444,0.16666666666666666,0.6464646464646465
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.7222222222222222,0.16666666666666666,0.6363636363636364
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.4166666666666667,0.16,0.5252525252525252
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.3611111111111111,0.14814814814814814,0.5858585858585859
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.3333333333333333,0.14285714285714285,0.4444444444444444
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.3333333333333333,0.14285714285714285,0.46464646464646464
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.3333333333333333,0.14285714285714285,0.4848484848484848
128.0,0.001,10.0,32.0,0.3,4.0,4.0,0.3055555555555556,0.13793103448275862,0.4949494949494949
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.3055555555555556,0.13793103448275862,0.4343434343434343
128.0,0.001,20.0,64.0,0.2,8.0,2.0,0.3055555555555556,0.13793103448275862,0.4343434343434343
