hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.7586206896551724,0.5625,0.7261904761904763
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.8103448275862069,0.56,0.7023809523809523
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.8275862068965517,0.5454545454545454,0.6815476190476191
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.6206896551724138,0.5416666666666666,0.7291666666666666
256.0,0.001,10.0,64.0,0.2,4.0,2.0,0.6206896551724138,0.5416666666666666,0.7529761904761906
256.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.7931034482758621,0.5384615384615384,0.6755952380952381
256.0,0.001,20.0,64.0,0.2,8.0,6.0,0.6379310344827587,0.5333333333333333,0.7113095238095238
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.7586206896551724,0.5333333333333333,0.7217261904761905
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.603448275862069,0.5306122448979592,0.7113095238095237
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.7241379310344828,0.5294117647058824,0.71875
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.5344827586206896,0.5263157894736842,0.6875
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.6896551724137931,0.5263157894736842,0.6919642857142858
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.6896551724137931,0.5263157894736842,0.6964285714285714
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.8103448275862069,0.5217391304347826,0.6532738095238095
128.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.8103448275862069,0.5217391304347826,0.6726190476190476
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.6206896551724138,0.5217391304347826,0.6949404761904762
128.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.8103448275862069,0.5217391304347826,0.6904761904761905
256.0,0.001,10.0,32.0,0.3,4.0,2.0,0.6206896551724138,0.5217391304347826,0.6517857142857143
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.5862068965517241,0.52,0.675595238095238
128.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.5862068965517241,0.52,0.7142857142857143
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.5517241379310345,0.5185185185185185,0.7127976190476191
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.5517241379310345,0.5185185185185185,0.7038690476190477
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.5517241379310345,0.5185185185185185,0.6815476190476191
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.5517241379310345,0.5185185185185185,0.6592261904761905
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.5517241379310345,0.5185185185185185,0.6666666666666666
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.5172413793103449,0.5172413793103449,0.6994047619047619
128.0,0.001,10.0,64.0,0.3,8.0,2.0,0.603448275862069,0.5106382978723404,0.6904761904761905
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.603448275862069,0.5106382978723404,0.6860119047619047
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.5689655172413793,0.5098039215686274,0.6488095238095238
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.5344827586206896,0.509090909090909,0.7232142857142857
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.5344827586206896,0.509090909090909,0.6994047619047619
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.5344827586206896,0.509090909090909,0.6949404761904762
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.5344827586206896,0.509090909090909,0.6919642857142857
128.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.5344827586206896,0.509090909090909,0.6979166666666667
