hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.9791666666666666,0.9705882352941176,0.9807962529274005
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.9791666666666666,0.9705882352941176,0.9915690866510538
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.9791666666666666,0.9705882352941176,0.9817330210772833
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.96875,0.9565217391304348,0.9747072599531615
256.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.96875,0.9565217391304348,0.9761124121779859
128.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.96875,0.9565217391304348,0.975175644028103
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.96875,0.9565217391304348,0.9714285714285713
256.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.96875,0.9565217391304348,0.975175644028103
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.96875,0.9565217391304348,0.97096018735363
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.96875,0.9565217391304348,0.9798594847775175
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.96875,0.9565217391304348,0.9765807962529274
256.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.96875,0.9565217391304348,0.9789227166276346
128.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.96875,0.9565217391304348,0.9733021077283373
128.0,0.0005,10.0,64.0,0.3,4.0,2.0,0.9583333333333334,0.9428571428571428,0.970023419203747
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.9583333333333334,0.9428571428571428,0.9850117096018736
256.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.9583333333333334,0.9428571428571428,0.9714285714285714
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.9583333333333334,0.9411764705882353,0.9714285714285714
128.0,0.001,20.0,64.0,0.3,4.0,6.0,0.9583333333333334,0.9411764705882353,0.9695550351288057
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.9583333333333334,0.9411764705882353,0.9798594847775175
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.9583333333333334,0.9411764705882353,0.9817330210772834
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.9583333333333334,0.9411764705882353,0.9896955503512881
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.9583333333333334,0.9393939393939394,0.9714285714285714
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.9479166666666666,0.9295774647887324,0.9658079625292739
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.9479166666666666,0.9295774647887324,0.9756440281030445
256.0,0.001,20.0,32.0,0.3,4.0,4.0,0.9479166666666666,0.9295774647887324,0.9723653395784544
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.9479166666666666,0.9295774647887324,0.9756440281030445
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.9479166666666666,0.9295774647887324,0.9629976580796253
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.9479166666666666,0.9295774647887324,0.9836065573770492
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.9479166666666666,0.9295774647887324,0.9733021077283373
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.9479166666666666,0.9295774647887324,0.9695550351288057
128.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.9479166666666666,0.9295774647887324,0.9840749414519906
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.9479166666666666,0.927536231884058,0.9784543325526932
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.9479166666666666,0.927536231884058,0.9625292740046838
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.9479166666666666,0.927536231884058,0.9723653395784544
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.9479166666666666,0.9253731343283582,0.9686182669789226
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.9479166666666666,0.9253731343283582,0.9714285714285714
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.9479166666666666,0.9253731343283582,0.9531615925058549
256.0,0.001,20.0,64.0,0.3,4.0,2.0,0.9479166666666666,0.9253731343283582,0.9339578454332552
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.9479166666666666,0.9253731343283582,0.9704918032786884
256.0,0.0005,10.0,64.0,0.3,4.0,2.0,0.9479166666666666,0.9253731343283582,0.9686182669789227
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.9479166666666666,0.9253731343283582,0.9714285714285714
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.9479166666666666,0.9230769230769231,0.9718969555035128
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.9479166666666666,0.9230769230769231,0.9662763466042155
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.9479166666666666,0.9230769230769231,0.9723653395784543
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.9375,0.9166666666666666,0.9723653395784544
256.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.9375,0.9166666666666666,0.9531615925058549
128.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.9375,0.9166666666666666,0.9714285714285714
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.9375,0.9166666666666666,0.9615925058548009
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.9375,0.9166666666666666,0.9676814988290399
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.9375,0.9142857142857143,0.9672131147540983
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.9375,0.9142857142857143,0.9498829039812646
256.0,0.001,20.0,32.0,0.2,4.0,2.0,0.9375,0.9142857142857143,0.9653395784543325
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.9375,0.9142857142857143,0.9756440281030445
