hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.7878787878787878,0.6666666666666666,0.6442307692307693
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.696969696969697,0.6428571428571429,0.7346153846153846
256.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.7272727272727273,0.64,0.6384615384615385
256.0,0.001,10.0,64.0,0.2,4.0,2.0,0.696969696969697,0.6153846153846154,0.6615384615384615
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.7272727272727273,0.6086956521739131,0.6346153846153846
128.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.7272727272727273,0.6086956521739131,0.6307692307692307
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.5151515151515151,0.6,0.6153846153846154
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.5151515151515151,0.6,0.525
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.7575757575757576,0.6,0.6230769230769231
128.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.6363636363636364,0.6,0.6615384615384615
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.5454545454545454,0.5945945945945946,0.6153846153846154
256.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.48484848484848486,0.5853658536585366,0.625
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.48484848484848486,0.5853658536585366,0.7134615384615384
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.696969696969697,0.5833333333333334,0.6442307692307693
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.696969696969697,0.5833333333333334,0.5692307692307693
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.5151515151515151,0.5789473684210527,0.6192307692307691
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.5151515151515151,0.5789473684210527,0.5846153846153846
256.0,0.001,20.0,32.0,0.3,8.0,6.0,0.45454545454545453,0.5714285714285714,0.4634615384615385
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.45454545454545453,0.5714285714285714,0.5634615384615385
128.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.45454545454545453,0.5714285714285714,0.6057692307692308
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.45454545454545453,0.5714285714285714,0.6346153846153846
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.45454545454545453,0.5714285714285714,0.43846153846153846
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.7272727272727273,0.5714285714285714,0.6269230769230769
256.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.45454545454545453,0.5714285714285714,0.5557692307692308
128.0,0.001,10.0,64.0,0.3,4.0,6.0,0.48484848484848486,0.5641025641025641,0.5288461538461539
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.42424242424242425,0.5581395348837209,0.4826923076923077
256.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.42424242424242425,0.5581395348837209,0.49999999999999994
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.42424242424242425,0.5581395348837209,0.6230769230769231
128.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.42424242424242425,0.5581395348837209,0.49038461538461536
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.42424242424242425,0.5581395348837209,0.4711538461538462
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.42424242424242425,0.5581395348837209,0.5961538461538461
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.42424242424242425,0.5581395348837209,0.5442307692307693
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.42424242424242425,0.5581395348837209,0.573076923076923
256.0,0.001,20.0,32.0,0.2,4.0,4.0,0.42424242424242425,0.5581395348837209,0.4923076923076923
256.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.42424242424242425,0.5581395348837209,0.5653846153846155
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.42424242424242425,0.5581395348837209,0.551923076923077
128.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.42424242424242425,0.5581395348837209,0.4538461538461539
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.42424242424242425,0.5581395348837209,0.5442307692307693
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.42424242424242425,0.5581395348837209,0.5019230769230769
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.42424242424242425,0.5581395348837209,0.49038461538461536
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.42424242424242425,0.5581395348837209,0.5615384615384615
256.0,0.001,20.0,64.0,0.3,4.0,4.0,0.42424242424242425,0.5581395348837209,0.5326923076923077
256.0,0.001,20.0,32.0,0.3,4.0,2.0,0.42424242424242425,0.5581395348837209,0.4846153846153846
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.42424242424242425,0.5581395348837209,0.5846153846153846
256.0,0.001,10.0,32.0,0.3,4.0,2.0,0.42424242424242425,0.5581395348837209,0.575
128.0,0.001,20.0,32.0,0.2,8.0,4.0,0.7575757575757576,0.5555555555555556,0.6403846153846154
128.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.45454545454545453,0.55,0.4211538461538461
128.0,0.001,20.0,32.0,0.2,4.0,2.0,0.45454545454545453,0.55,0.6442307692307692
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.3939393939393939,0.5454545454545454,0.5230769230769232
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.3939393939393939,0.5454545454545454,0.45
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.3939393939393939,0.5454545454545454,0.40192307692307694
256.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.696969696969697,0.5454545454545454,0.6423076923076922
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.3939393939393939,0.5454545454545454,0.4788461538461539
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.3939393939393939,0.5454545454545454,0.5230769230769231
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.3939393939393939,0.5454545454545454,0.4923076923076923
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.3939393939393939,0.5454545454545454,0.5615384615384615
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.3939393939393939,0.5454545454545454,0.39230769230769236
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3939393939393939,0.5454545454545454,0.6096153846153847
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.3939393939393939,0.5454545454545454,0.49230769230769234
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.3939393939393939,0.5454545454545454,0.5711538461538461
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.3939393939393939,0.5454545454545454,0.4980769230769231
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.3939393939393939,0.5454545454545454,0.6
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.3939393939393939,0.5454545454545454,0.5346153846153846
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.3939393939393939,0.5454545454545454,0.45961538461538465
256.0,0.001,20.0,64.0,0.3,8.0,2.0,0.3939393939393939,0.5454545454545454,0.5461538461538462
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.3939393939393939,0.5454545454545454,0.42692307692307696
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.3939393939393939,0.5454545454545454,0.4230769230769231
128.0,0.001,20.0,64.0,0.3,4.0,2.0,0.3939393939393939,0.5454545454545454,0.4307692307692308
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.3939393939393939,0.5454545454545454,0.40769230769230763
128.0,0.001,10.0,32.0,0.2,8.0,2.0,0.3939393939393939,0.5454545454545454,0.4961538461538461
256.0,0.001,10.0,32.0,0.2,8.0,2.0,0.3939393939393939,0.5454545454545454,0.5211538461538462
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.3939393939393939,0.5454545454545454,0.5615384615384617
128.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.3939393939393939,0.5454545454545454,0.6288461538461538
256.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.3939393939393939,0.5454545454545454,0.4884615384615385
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.3939393939393939,0.5454545454545454,0.38653846153846155
128.0,0.0005,10.0,64.0,0.3,4.0,2.0,0.3939393939393939,0.5454545454545454,0.49230769230769234
128.0,0.001,10.0,32.0,0.3,8.0,2.0,0.3939393939393939,0.5454545454545454,0.45576923076923076
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.3939393939393939,0.5454545454545454,0.5384615384615384
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.3939393939393939,0.5454545454545454,0.551923076923077
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.3939393939393939,0.5454545454545454,0.49038461538461536
128.0,0.001,20.0,64.0,0.3,8.0,2.0,0.3939393939393939,0.5454545454545454,0.55
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.3939393939393939,0.5454545454545454,0.5346153846153847
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.4730769230769232
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.36363636363636365,0.5333333333333333,0.4115384615384615
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.4269230769230769
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.41923076923076924
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.36346153846153845
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.3807692307692308
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.36363636363636365,0.5333333333333333,0.4096153846153846
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.36363636363636365,0.5333333333333333,0.3500000000000001
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.36363636363636365,0.5333333333333333,0.43076923076923074
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.36363636363636365,0.5333333333333333,0.4807692307692308
128.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.36363636363636365,0.5333333333333333,0.4903846153846154
