hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.0005,10.0,64.0,0.3,4.0,2.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,20.0,64.0,0.2,8.0,6.0,0.8064516129032258,0.7,0.8532608695652174
128.0,0.001,20.0,32.0,0.2,8.0,2.0,0.8064516129032258,0.7,0.8179347826086957
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,10.0,32.0,0.2,8.0,6.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,20.0,64.0,0.3,4.0,6.0,0.8064516129032258,0.7,0.8532608695652174
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,20.0,32.0,0.3,8.0,2.0,0.8064516129032258,0.7,0.8519021739130436
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,10.0,32.0,0.2,4.0,4.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,10.0,64.0,0.2,4.0,4.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.8064516129032258,0.7,0.8532608695652174
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.8064516129032258,0.7,0.8505434782608696
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8064516129032258,0.7,0.8519021739130435
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.8064516129032258,0.7,0.8519021739130435
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.8064516129032258,0.7,0.8641304347826086
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.8064516129032258,0.7,0.8519021739130435
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.8064516129032258,0.7,0.8532608695652174
