hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.8709677419354839,0.92,0.6607142857142857
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.8709677419354839,0.92,0.6726190476190476
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.8387096774193549,0.9019607843137255,0.6964285714285714
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.8387096774193549,0.9019607843137255,0.6369047619047619
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.8387096774193549,0.9019607843137255,0.6369047619047619
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.8387096774193549,0.9019607843137255,0.6726190476190477
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6309523809523809
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6190476190476191
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6428571428571429
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6904761904761905
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6845238095238095
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.5535714285714286
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.625
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6726190476190477
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.5833333333333334
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.8387096774193549,0.9019607843137255,0.6666666666666667
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6488095238095238
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8387096774193549,0.9019607843137255,0.6607142857142858
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.8387096774193549,0.9019607843137255,0.625
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6369047619047619
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6666666666666667
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6309523809523809
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6726190476190477
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.8387096774193549,0.9019607843137255,0.6785714285714286
128.0,0.001,20.0,64.0,0.2,4.0,4.0,0.8387096774193549,0.9019607843137255,0.7142857142857143
