hidden_dim,lr,epochs,batch_size,dropout,accuracy,f1_score
128.0,0.001,10.0,32.0,0.3,0.6901408450704225,0.6477630488815244
128.0,0.0005,20.0,64.0,0.3,0.6901408450704225,0.6477630488815244
256.0,0.001,20.0,32.0,0.3,0.6901408450704225,0.6477630488815244
256.0,0.001,20.0,64.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.001,20.0,64.0,0.3,0.676056338028169,0.6270252833906601
256.0,0.0005,10.0,64.0,0.3,0.676056338028169,0.6270252833906601
256.0,0.0005,20.0,32.0,0.3,0.676056338028169,0.6270252833906601
128.0,0.0005,20.0,32.0,0.3,0.676056338028169,0.6270252833906601
128.0,0.001,20.0,32.0,0.3,0.676056338028169,0.6270252833906601
256.0,0.0005,10.0,32.0,0.3,0.676056338028169,0.6270252833906601
256.0,0.001,10.0,32.0,0.3,0.676056338028169,0.6270252833906601
128.0,0.0005,10.0,32.0,0.3,0.676056338028169,0.6270252833906601
128.0,0.0005,10.0,32.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.0005,20.0,64.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.001,10.0,32.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.0005,20.0,64.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.001,20.0,32.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.001,10.0,32.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.0005,10.0,32.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.001,20.0,32.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.001,20.0,64.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.0005,20.0,32.0,0.2,0.676056338028169,0.6270252833906601
128.0,0.001,10.0,64.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.001,10.0,64.0,0.2,0.676056338028169,0.6270252833906601
256.0,0.0005,20.0,64.0,0.3,0.676056338028169,0.6270252833906601
256.0,0.0005,20.0,32.0,0.2,0.6619718309859155,0.6055197582254661
128.0,0.001,10.0,64.0,0.3,0.6619718309859155,0.6055197582254661
128.0,0.0005,10.0,64.0,0.3,0.6619718309859155,0.6055197582254661
128.0,0.0005,10.0,64.0,0.2,0.6619718309859155,0.6055197582254661
256.0,0.0005,10.0,64.0,0.2,0.6619718309859155,0.6055197582254661
128.0,0.001,20.0,64.0,0.3,0.6619718309859155,0.5937638409070777
256.0,0.001,10.0,64.0,0.3,0.647887323943662,0.5831747240197944
