hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.76,0.6923076923076923,0.7822614543926019
256.0,0.001,10.0,32.0,0.2,8.0,2.0,0.74,0.675,0.6628835645229089
128.0,0.001,10.0,64.0,0.3,4.0,2.0,0.71,0.6588235294117647,0.6841109709962169
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.5,0.5967741935483871,0.5786044556536362
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.5,0.5967741935483871,0.5670449768810425
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.5,0.5967741935483871,0.45733501471206395
128.0,0.001,20.0,64.0,0.3,4.0,2.0,0.49,0.592,0.587431693989071
256.0,0.001,20.0,32.0,0.2,4.0,4.0,0.49,0.592,0.6828499369482977
128.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.49,0.592,0.5813366960907945
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.49,0.592,0.610760823875578
128.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.49,0.592,0.5691467002942413
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.49,0.592,0.6073980664144598
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.49,0.592,0.5149222362337117
128.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.49,0.592,0.564522908785204
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.49,0.592,0.5813366960907944
128.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.49,0.592,0.5725094577553594
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.49,0.592,0.5666246321984026
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.49,0.592,0.6031946195880622
128.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.49,0.592,0.569567044976881
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.49,0.592,0.6082387557797394
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.49,0.592,0.5758722152164776
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.49,0.592,0.608659100462379
128.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.48,0.5873015873015873,0.5674653215636822
256.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.48,0.5873015873015873,0.5674653215636822
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.48,0.5873015873015873,0.5611601513240857
256.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.48,0.5873015873015873,0.5672551492223623
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.48,0.5873015873015873,0.5794451450189155
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.48,0.5873015873015873,0.6183270281630937
256.0,0.001,20.0,32.0,0.3,8.0,2.0,0.48,0.5873015873015873,0.5825977301387137
256.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.48,0.5873015873015873,0.5153425809163514
128.0,0.001,10.0,32.0,0.2,8.0,6.0,0.48,0.5873015873015873,0.5727196300966793
128.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.48,0.5873015873015873,0.6111811685582177
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.48,0.5873015873015873,0.5615804960067255
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.48,0.5873015873015873,0.5636822194199244
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.48,0.5873015873015873,0.5758722152164775
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.48,0.5873015873015873,0.5771332492643968
128.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.48,0.5873015873015873,0.6439680538041194
256.0,0.001,20.0,64.0,0.3,4.0,2.0,0.49,0.5853658536585366,0.5737704918032788
128.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.49,0.5853658536585366,0.5918453131567885
256.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.49,0.5853658536585366,0.5922656578394283
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.49,0.5853658536585366,0.6015132408575031
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.49,0.5853658536585366,0.5792349726775956
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.47,0.5826771653543307,0.5985708280790248
256.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.47,0.5826771653543307,0.5628415300546448
128.0,0.001,10.0,64.0,0.3,4.0,6.0,0.47,0.5826771653543307,0.5653635981504834
128.0,0.001,20.0,64.0,0.3,8.0,2.0,0.48,0.5806451612903226,0.5634720470786044
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.48,0.5806451612903226,0.562421185372005
256.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.48,0.5806451612903226,0.5687263556116015
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.48,0.5806451612903226,0.562421185372005
128.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.48,0.5806451612903226,0.585540142917192
256.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.48,0.5806451612903226,0.5605296343001261
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.48,0.5806451612903226,0.5699873896595208
128.0,0.001,10.0,64.0,0.3,4.0,4.0,0.48,0.5806451612903226,0.562421185372005
256.0,0.001,10.0,32.0,0.2,4.0,4.0,0.48,0.5806451612903226,0.562631357713325
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.48,0.5806451612903226,0.5758722152164775
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.48,0.5806451612903226,0.5729298024379992
128.0,0.001,20.0,64.0,0.2,4.0,4.0,0.48,0.5806451612903226,0.567885666246322
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.48,0.5806451612903226,0.5292139554434636
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.48,0.5806451612903226,0.57145859604876
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.48,0.5806451612903226,0.5598991172761665
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.48,0.5806451612903226,0.5851197982345523
128.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.48,0.5806451612903226,0.5880622110130307
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.48,0.5806451612903226,0.5615804960067255
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.48,0.5806451612903226,0.5647330811265238
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.48,0.5806451612903226,0.5645229087852038
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.48,0.5806451612903226,0.5584279108869273
256.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.48,0.5806451612903226,0.5691467002942412
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.48,0.5806451612903226,0.5615804960067255
256.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.48,0.5806451612903226,0.555275325767129
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.48,0.5806451612903226,0.5901639344262295
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.48,0.5806451612903226,0.5641025641025641
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.48,0.5806451612903226,0.5771332492643969
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.48,0.5806451612903226,0.5620008406893653
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.48,0.5806451612903226,0.5615804960067255
128.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.48,0.5806451612903226,0.5683060109289617
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.48,0.5806451612903226,0.566204287515763
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.48,0.5806451612903226,0.6149642707019756
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.48,0.5806451612903226,0.5729298024379992
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.48,0.5806451612903226,0.5804960067255149
256.0,0.0005,10.0,64.0,0.2,8.0,2.0,0.48,0.5806451612903226,0.5615804960067255
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.45,0.5801526717557252,0.5498108448928121
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.45,0.5801526717557252,0.5498108448928121
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.45,0.5801526717557252,0.5508617065994116
128.0,0.001,10.0,32.0,0.2,8.0,4.0,0.46,0.578125,0.5620008406893653
128.0,0.001,10.0,32.0,0.2,8.0,2.0,0.46,0.578125,0.5582177385456073
