hidden_dim,lr,epochs,batch_size,dropout,accuracy,f1_score
256.0,0.001,10.0,32.0,0.2,0.6666666666666666,0.6875
256.0,0.001,20.0,32.0,0.2,0.6666666666666666,0.6666666666666666
256.0,0.0005,20.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.0005,10.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.0005,20.0,32.0,0.3,0.75,0.6428571428571428
128.0,0.001,20.0,32.0,0.3,0.75,0.6428571428571428
256.0,0.001,10.0,32.0,0.3,0.75,0.6428571428571428
256.0,0.0005,10.0,64.0,0.3,0.75,0.6428571428571428
128.0,0.0005,20.0,64.0,0.3,0.75,0.6428571428571428
256.0,0.0005,20.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.0005,20.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.001,10.0,64.0,0.3,0.75,0.6428571428571428
256.0,0.0005,10.0,64.0,0.2,0.75,0.6428571428571428
256.0,0.001,10.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.0005,10.0,64.0,0.2,0.75,0.6428571428571428
128.0,0.001,10.0,64.0,0.2,0.75,0.6428571428571428
256.0,0.0005,20.0,32.0,0.2,0.75,0.6428571428571428
256.0,0.0005,10.0,32.0,0.2,0.75,0.6428571428571428
256.0,0.0005,10.0,32.0,0.3,0.5833333333333334,0.611111111111111
256.0,0.001,20.0,64.0,0.2,0.6666666666666666,0.6
128.0,0.0005,20.0,32.0,0.2,0.6666666666666666,0.6
128.0,0.001,20.0,32.0,0.2,0.6666666666666666,0.6
256.0,0.001,20.0,32.0,0.3,0.6666666666666666,0.6
256.0,0.0005,20.0,32.0,0.3,0.6666666666666666,0.6
256.0,0.001,20.0,64.0,0.3,0.5833333333333334,0.5526315789473684
128.0,0.001,10.0,32.0,0.2,0.5833333333333334,0.5526315789473684
128.0,0.0005,10.0,32.0,0.2,0.5833333333333334,0.5526315789473684
128.0,0.001,10.0,32.0,0.3,0.5833333333333334,0.5526315789473684
256.0,0.001,10.0,64.0,0.3,0.5,0.5285714285714286
128.0,0.0005,10.0,32.0,0.3,0.5,0.5
128.0,0.001,20.0,64.0,0.3,0.5,0.5
128.0,0.001,20.0,64.0,0.2,0.5,0.5
