hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.7777777777777778,0.5,0.8035714285714286
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.5555555555555556,0.42857142857142855,0.7321428571428571
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.5555555555555556,0.42857142857142855,0.6428571428571428
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.6666666666666666,0.4,0.6428571428571428
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.8333333333333334,0.4,0.8392857142857142
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.4444444444444444,0.375,0.6071428571428572
256.0,0.001,20.0,64.0,0.3,8.0,6.0,0.4444444444444444,0.375,0.5357142857142857
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.4444444444444444,0.375,0.5446428571428572
128.0,0.0005,20.0,32.0,0.2,4.0,4.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.001,10.0,64.0,0.2,8.0,6.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.001,10.0,32.0,0.2,8.0,2.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.6111111111111112,0.36363636363636365,0.5803571428571429
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.001,20.0,32.0,0.2,8.0,4.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.6111111111111112,0.36363636363636365,0.5892857142857142
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.4732142857142857
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.3333333333333333,0.5625
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.3333333333333333,0.5178571428571428
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.3333333333333333,0.5714285714285714
