hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.8636363636363636,0.8571428571428571,0.884297520661157
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.8636363636363636,0.8571428571428571,0.9090909090909091
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.8636363636363636,0.8421052631578947,0.9256198347107437
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.8333333333333334,0.8429752066115702
128.0,0.001,20.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.8333333333333334,0.859504132231405
128.0,0.001,10.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.8333333333333334,0.8429752066115702
128.0,0.001,20.0,64.0,0.3,4.0,6.0,0.8181818181818182,0.8333333333333334,0.9008264462809917
128.0,0.001,20.0,32.0,0.2,8.0,2.0,0.8181818181818182,0.8181818181818182,0.8595041322314049
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.8181818181818182,0.8181818181818182,0.9008264462809917
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.8181818181818182,0.9008264462809917
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.8181818181818182,0.8181818181818182,0.9090909090909091
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.8181818181818182,0.8181818181818182,0.8925619834710743
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.8181818181818182,0.8181818181818182,0.8595041322314049
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.8181818181818182,0.859504132231405
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.8181818181818182,0.8677685950413222
256.0,0.001,10.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.8181818181818182,0.8925619834710743
256.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.8181818181818182,0.8181818181818182,0.8760330578512396
128.0,0.001,20.0,32.0,0.2,4.0,2.0,0.8181818181818182,0.8181818181818182,0.9008264462809916
256.0,0.001,10.0,64.0,0.2,4.0,2.0,0.8181818181818182,0.8181818181818182,0.8677685950413222
256.0,0.001,20.0,32.0,0.3,8.0,6.0,0.8181818181818182,0.8181818181818182,0.8677685950413223
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.8181818181818182,0.8181818181818182,0.884297520661157
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.7727272727272727,0.8,0.7933884297520661
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.7727272727272727,0.8,0.8760330578512396
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.7727272727272727,0.8,0.9008264462809917
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.7727272727272727,0.8,0.8512396694214877
256.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.8181818181818182,0.8,0.8925619834710743
256.0,0.001,20.0,64.0,0.2,8.0,2.0,0.8181818181818182,0.8,0.859504132231405
256.0,0.001,10.0,32.0,0.2,8.0,2.0,0.7727272727272727,0.8,0.8429752066115702
256.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.8181818181818182,0.8,0.9090909090909091
128.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.7727272727272727,0.8,0.8429752066115703
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.7727272727272727,0.8,0.8760330578512396
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.7727272727272727,0.8,0.8512396694214877
256.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.7727272727272727,0.8,0.884297520661157
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.8,0.8677685950413223
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.8181818181818182,0.8,0.8512396694214877
256.0,0.001,20.0,32.0,0.3,4.0,2.0,0.7727272727272727,0.8,0.884297520661157
256.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.8181818181818182,0.8,0.8760330578512396
256.0,0.001,20.0,64.0,0.2,4.0,2.0,0.8181818181818182,0.8,0.8677685950413223
256.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.8181818181818182,0.8,0.9090909090909092
256.0,0.001,10.0,64.0,0.3,4.0,6.0,0.7727272727272727,0.8,0.859504132231405
128.0,0.001,10.0,64.0,0.2,4.0,2.0,0.7727272727272727,0.8,0.8760330578512396
128.0,0.001,20.0,32.0,0.3,4.0,6.0,0.8181818181818182,0.8,0.8181818181818182
128.0,0.001,20.0,64.0,0.2,4.0,2.0,0.8181818181818182,0.8,0.8429752066115702
256.0,0.0005,10.0,32.0,0.2,8.0,2.0,0.7727272727272727,0.782608695652174,0.8016528925619835
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.7727272727272727,0.782608695652174,0.8264462809917356
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.7727272727272727,0.782608695652174,0.859504132231405
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.7727272727272727,0.782608695652174,0.8512396694214877
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.7727272727272727,0.782608695652174,0.8264462809917356
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.7727272727272727,0.782608695652174,0.8512396694214877
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.7727272727272727,0.782608695652174,0.8429752066115702
256.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.7727272727272727,0.782608695652174,0.8760330578512396
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.7727272727272727,0.782608695652174,0.8677685950413223
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.7727272727272727,0.782608695652174,0.8512396694214877
128.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.7727272727272727,0.782608695652174,0.793388429752066
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.7727272727272727,0.782608695652174,0.8347107438016529
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.7727272727272727,0.782608695652174,0.8264462809917354
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.7727272727272727,0.782608695652174,0.859504132231405
128.0,0.0005,10.0,32.0,0.3,4.0,2.0,0.7727272727272727,0.782608695652174,0.8760330578512396
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.782608695652174,0.8016528925619835
256.0,0.0005,20.0,64.0,0.3,8.0,6.0,0.7727272727272727,0.782608695652174,0.8264462809917354
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.7727272727272727,0.782608695652174,0.8429752066115702
128.0,0.001,10.0,64.0,0.3,8.0,2.0,0.7727272727272727,0.782608695652174,0.8181818181818181
256.0,0.0005,20.0,32.0,0.3,8.0,2.0,0.7727272727272727,0.782608695652174,0.8512396694214877
256.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.7727272727272727,0.782608695652174,0.8016528925619834
128.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.7727272727272727,0.782608695652174,0.8512396694214877
256.0,0.001,20.0,32.0,0.2,8.0,2.0,0.7727272727272727,0.782608695652174,0.8264462809917354
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.7727272727272727,0.782608695652174,0.8429752066115702
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.7727272727272727,0.782608695652174,0.8512396694214877
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.7727272727272727,0.782608695652174,0.8099173553719008
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.7727272727272727,0.782608695652174,0.859504132231405
128.0,0.0005,10.0,64.0,0.3,4.0,4.0,0.8181818181818182,0.7777777777777778,0.8760330578512396
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.8181818181818182,0.7777777777777778,0.8512396694214877
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.7272727272727273,0.7692307692307693,0.8595041322314049
128.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.7272727272727273,0.7692307692307693,0.8347107438016528
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.7272727272727273,0.7692307692307693,0.8347107438016528
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.7272727272727273,0.7692307692307693,0.8512396694214875
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.7272727272727273,0.7692307692307693,0.8512396694214875
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.7272727272727273,0.7692307692307693,0.8099173553719008
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.7272727272727273,0.7692307692307693,0.8264462809917354
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.7272727272727273,0.7692307692307693,0.7851239669421487
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.7272727272727273,0.7692307692307693,0.8016528925619835
256.0,0.001,20.0,64.0,0.3,8.0,4.0,0.7272727272727273,0.7692307692307693,0.8595041322314049
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.7272727272727273,0.7692307692307693,0.7933884297520661
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.7272727272727273,0.7692307692307693,0.7851239669421487
256.0,0.001,10.0,64.0,0.2,8.0,2.0,0.7272727272727273,0.7692307692307693,0.8347107438016528
