hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.4444444444444444,0.4444444444444444,0.38461538461538464
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.4444444444444444,0.4444444444444444,0.38461538461538464
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.4444444444444444,0.4444444444444444,0.4153846153846154
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.3888888888888889,0.42105263157894735,0.30769230769230765
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.3888888888888889,0.42105263157894735,0.36923076923076925
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.3888888888888889,0.42105263157894735,0.35384615384615387
256.0,0.0005,20.0,32.0,0.2,8.0,6.0,0.3888888888888889,0.42105263157894735,0.3538461538461538
128.0,0.001,20.0,32.0,0.3,4.0,2.0,0.3888888888888889,0.42105263157894735,0.41538461538461535
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.3888888888888889,0.42105263157894735,0.36923076923076925
256.0,0.001,10.0,64.0,0.3,8.0,2.0,0.3888888888888889,0.42105263157894735,0.3538461538461538
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.3888888888888889,0.42105263157894735,0.41538461538461535
256.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.3888888888888889,0.42105263157894735,0.35384615384615387
128.0,0.001,20.0,64.0,0.2,4.0,2.0,0.3888888888888889,0.42105263157894735,0.3692307692307692
128.0,0.001,20.0,32.0,0.2,8.0,4.0,0.3888888888888889,0.42105263157894735,0.3538461538461538
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.3888888888888889,0.42105263157894735,0.4
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.3888888888888889,0.42105263157894735,0.3384615384615384
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.3888888888888889,0.42105263157894735,0.32307692307692304
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.3888888888888889,0.42105263157894735,0.3538461538461538
128.0,0.001,10.0,64.0,0.2,8.0,2.0,0.3888888888888889,0.42105263157894735,0.4
256.0,0.001,20.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.4,0.38461538461538464
128.0,0.001,10.0,32.0,0.3,4.0,6.0,0.5,0.4,0.36923076923076925
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.3333333333333333,0.4,0.36923076923076925
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.3333333333333333,0.4,0.3384615384615385
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.4,0.3384615384615385
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.4,0.4
256.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.3333333333333333,0.4,0.3076923076923077
256.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.3333333333333333,0.4,0.27692307692307694
128.0,0.001,20.0,32.0,0.3,4.0,6.0,0.3333333333333333,0.4,0.2923076923076923
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.3333333333333333,0.4,0.3384615384615385
128.0,0.001,20.0,32.0,0.3,4.0,4.0,0.5,0.4,0.4307692307692308
256.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.3076923076923077
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.3333333333333333,0.4,0.3230769230769231
256.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.36923076923076925
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.35384615384615387
256.0,0.001,20.0,32.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.38461538461538464
128.0,0.001,20.0,64.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.36923076923076925
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.3333333333333333,0.4,0.3384615384615385
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.3333333333333333,0.4,0.4
256.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.3333333333333333,0.4,0.4
256.0,0.001,20.0,64.0,0.2,4.0,2.0,0.3333333333333333,0.4,0.35384615384615387
128.0,0.0005,20.0,64.0,0.2,4.0,2.0,0.3333333333333333,0.4,0.3384615384615385
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.5,0.4,0.36923076923076925
128.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.5,0.4,0.36923076923076925
256.0,0.001,10.0,64.0,0.3,8.0,6.0,0.5,0.4,0.38461538461538464
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.4,0.3384615384615385
128.0,0.001,20.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.4,0.35384615384615387
256.0,0.0005,20.0,32.0,0.3,4.0,2.0,0.3333333333333333,0.4,0.38461538461538464
256.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.3333333333333333,0.4,0.2923076923076923
128.0,0.001,20.0,32.0,0.2,4.0,2.0,0.3333333333333333,0.4,0.38461538461538464
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.5,0.4,0.38461538461538464
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.3333333333333333,0.4,0.29230769230769227
128.0,0.001,20.0,64.0,0.3,4.0,2.0,0.3333333333333333,0.4,0.36923076923076925
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.3333333333333333,0.4,0.4
256.0,0.001,20.0,64.0,0.3,8.0,6.0,0.3333333333333333,0.4,0.36923076923076925
128.0,0.001,10.0,64.0,0.2,8.0,4.0,0.5,0.4,0.36923076923076925
128.0,0.0005,20.0,64.0,0.2,4.0,4.0,0.2777777777777778,0.38095238095238093,0.2461538461538461
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.2777777777777778,0.38095238095238093,0.3384615384615384
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.2777777777777778,0.38095238095238093,0.23076923076923075
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.2777777777777778,0.38095238095238093,0.3076923076923077
256.0,0.0005,10.0,64.0,0.3,4.0,6.0,0.2777777777777778,0.38095238095238093,0.23076923076923078
256.0,0.001,20.0,32.0,0.3,4.0,4.0,0.2777777777777778,0.38095238095238093,0.36923076923076925
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.2777777777777778,0.38095238095238093,0.24615384615384614
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.2777777777777778,0.38095238095238093,0.2461538461538461
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.2777777777777778,0.38095238095238093,0.32307692307692304
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.2777777777777778,0.38095238095238093,0.3384615384615385
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.2777777777777778,0.38095238095238093,0.3538461538461538
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.2777777777777778,0.38095238095238093,0.30769230769230765
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.2777777777777778,0.38095238095238093,0.35384615384615387
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.2777777777777778,0.38095238095238093,0.27692307692307694
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.2777777777777778,0.38095238095238093,0.41538461538461535
