hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.96,0.9411764705882353,0.9857397504456328
256.0,0.001,10.0,64.0,0.2,4.0,2.0,0.96,0.9411764705882353,0.9928698752228164
256.0,0.001,10.0,32.0,0.3,4.0,4.0,0.96,0.9411764705882353,0.9928698752228164
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.96,0.9411764705882353,0.9946524064171123
128.0,0.001,10.0,64.0,0.3,4.0,2.0,0.96,0.9411764705882353,0.9946524064171123
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.96,0.9411764705882353,0.9910873440285205
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.96,0.9411764705882353,0.9928698752228164
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.96,0.9411764705882353,0.9946524064171123
128.0,0.001,10.0,32.0,0.3,4.0,2.0,0.96,0.9411764705882353,0.9946524064171123
256.0,0.0005,20.0,64.0,0.3,4.0,6.0,0.96,0.9411764705882353,0.9964349376114082
256.0,0.001,20.0,64.0,0.2,8.0,2.0,0.96,0.9411764705882353,0.9893048128342247
256.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.96,0.9411764705882353,0.9875222816399287
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.96,0.9375,0.9964349376114082
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.94,0.9142857142857143,0.9875222816399287
256.0,0.001,10.0,64.0,0.3,8.0,2.0,0.94,0.9142857142857143,0.9893048128342247
256.0,0.001,20.0,64.0,0.3,8.0,2.0,0.94,0.9142857142857143,0.9928698752228164
256.0,0.001,20.0,64.0,0.2,4.0,4.0,0.94,0.9142857142857143,0.9910873440285206
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.94,0.9142857142857143,0.9910873440285206
256.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.94,0.9142857142857143,0.9893048128342247
128.0,0.001,20.0,64.0,0.2,4.0,2.0,0.94,0.9142857142857143,0.9928698752228164
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.94,0.9142857142857143,0.9928698752228164
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.94,0.9142857142857143,0.9893048128342247
128.0,0.001,10.0,64.0,0.2,4.0,2.0,0.94,0.9142857142857143,0.9928698752228164
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.94,0.9142857142857143,0.9910873440285206
256.0,0.0005,10.0,32.0,0.2,8.0,6.0,0.94,0.9142857142857143,0.9928698752228164
256.0,0.001,20.0,64.0,0.2,4.0,2.0,0.94,0.9142857142857143,0.9910873440285206
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.94,0.9142857142857143,0.9910873440285206
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.94,0.9142857142857143,0.9910873440285206
128.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.94,0.9032258064516129,0.9910873440285205
128.0,0.001,20.0,32.0,0.3,8.0,2.0,0.92,0.8888888888888888,0.9857397504456328
128.0,0.0005,20.0,32.0,0.3,4.0,6.0,0.92,0.8888888888888888,0.9839572192513368
128.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.92,0.8888888888888888,0.9893048128342246
128.0,0.001,20.0,32.0,0.2,4.0,4.0,0.92,0.8888888888888888,0.982174688057041
256.0,0.0005,10.0,64.0,0.3,8.0,6.0,0.92,0.8888888888888888,0.9893048128342246
256.0,0.0005,10.0,32.0,0.3,4.0,4.0,0.92,0.8888888888888888,0.9875222816399287
128.0,0.0005,20.0,64.0,0.2,8.0,2.0,0.92,0.8888888888888888,0.9893048128342246
128.0,0.0005,20.0,64.0,0.3,4.0,4.0,0.92,0.8888888888888888,0.982174688057041
256.0,0.001,20.0,32.0,0.2,8.0,6.0,0.92,0.8888888888888888,0.9857397504456328
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.92,0.8888888888888888,0.9839572192513368
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.92,0.8888888888888888,0.9839572192513368
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.92,0.8888888888888888,0.9803921568627451
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.92,0.8888888888888888,0.9750445632798573
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.92,0.8888888888888888,0.9857397504456328
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.92,0.8888888888888888,0.9893048128342246
256.0,0.001,10.0,32.0,0.2,8.0,6.0,0.92,0.8888888888888888,0.9839572192513368
128.0,0.001,10.0,32.0,0.2,8.0,4.0,0.92,0.8888888888888888,0.9875222816399287
256.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.92,0.8888888888888888,0.9768270944741533
128.0,0.0005,20.0,64.0,0.3,4.0,2.0,0.92,0.8888888888888888,0.9875222816399287
