hidden_dim,lr,epochs,batch_size,dropout,accuracy,f1_score
256.0,0.0005,20.0,32.0,0.3,0.7741935483870968,0.7706207606724721
256.0,0.001,20.0,64.0,0.2,0.7741935483870968,0.7677867828426819
256.0,0.001,20.0,32.0,0.2,0.7634408602150538,0.7582636399840701
256.0,0.001,20.0,64.0,0.3,0.7634408602150538,0.7550893176795921
128.0,0.001,20.0,64.0,0.3,0.7634408602150538,0.7550893176795921
128.0,0.0005,20.0,32.0,0.2,0.7526881720430108,0.7514773430199655
256.0,0.001,10.0,64.0,0.3,0.7634408602150538,0.7514737507906388
128.0,0.0005,10.0,32.0,0.2,0.7526881720430108,0.7456712383515086
128.0,0.0005,10.0,64.0,0.3,0.7634408602150538,0.7427235690910305
256.0,0.001,20.0,32.0,0.3,0.7419354838709677,0.7393123006026232
256.0,0.001,10.0,64.0,0.2,0.7526881720430108,0.7380992425225329
256.0,0.0005,10.0,32.0,0.2,0.7526881720430108,0.7380992425225329
128.0,0.001,10.0,64.0,0.3,0.7634408602150538,0.73746781765864
256.0,0.0005,20.0,64.0,0.3,0.7634408602150538,0.73746781765864
256.0,0.0005,10.0,64.0,0.2,0.7634408602150538,0.73746781765864
128.0,0.0005,10.0,64.0,0.2,0.7634408602150538,0.73746781765864
128.0,0.001,20.0,32.0,0.3,0.7526881720430108,0.7335331460295045
128.0,0.0005,20.0,32.0,0.3,0.7419354838709677,0.7328247101959188
128.0,0.0005,10.0,32.0,0.3,0.7634408602150538,0.7315241508789895
128.0,0.0005,20.0,64.0,0.2,0.7419354838709677,0.7288804554079696
256.0,0.0005,10.0,64.0,0.3,0.7526881720430108,0.7283662523195812
128.0,0.001,10.0,32.0,0.3,0.7526881720430108,0.7283662523195812
256.0,0.0005,10.0,32.0,0.3,0.7526881720430108,0.7283662523195812
256.0,0.001,10.0,32.0,0.3,0.7526881720430108,0.7283662523195812
128.0,0.001,20.0,64.0,0.2,0.7526881720430108,0.7283662523195812
256.0,0.001,10.0,32.0,0.2,0.7526881720430108,0.7225232881646986
256.0,0.0005,20.0,64.0,0.2,0.7419354838709677,0.7193348026447606
128.0,0.001,10.0,64.0,0.2,0.7526881720430108,0.7159137976251843
128.0,0.0005,20.0,64.0,0.3,0.7311827956989247,0.7153252636114489
256.0,0.0005,20.0,32.0,0.2,0.7419354838709677,0.7136012556276073
128.0,0.001,20.0,32.0,0.2,0.7526881720430108,0.7084282844651508
128.0,0.001,10.0,32.0,0.2,0.7204301075268817,0.6304548945677978
