hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.9285714285714286,0.8888888888888888,0.9111111111111111
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.9047619047619048,0.8571428571428571,0.9135802469135803
128.0,0.0005,10.0,32.0,0.3,8.0,2.0,0.9047619047619048,0.8571428571428571,0.9086419753086421
256.0,0.0005,20.0,32.0,0.3,4.0,4.0,0.9047619047619048,0.8571428571428571,0.925925925925926
128.0,0.001,10.0,64.0,0.3,4.0,2.0,0.9047619047619048,0.8571428571428571,0.9185185185185185
128.0,0.001,10.0,32.0,0.2,4.0,4.0,0.9047619047619048,0.8571428571428571,0.9234567901234567
128.0,0.0005,20.0,32.0,0.2,8.0,2.0,0.9047619047619048,0.8571428571428571,0.9308641975308641
128.0,0.001,20.0,32.0,0.3,4.0,2.0,0.9047619047619048,0.8571428571428571,0.9333333333333335
256.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.9047619047619048,0.8571428571428571,0.9234567901234569
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.9047619047619048,0.8571428571428571,0.9185185185185185
256.0,0.0005,20.0,32.0,0.2,4.0,2.0,0.9047619047619048,0.8461538461538461,0.854320987654321
256.0,0.0005,10.0,64.0,0.2,4.0,4.0,0.9047619047619048,0.8461538461538461,0.871604938271605
256.0,0.001,20.0,32.0,0.3,4.0,6.0,0.9047619047619048,0.8461538461538461,0.9037037037037037
128.0,0.0005,20.0,32.0,0.3,8.0,6.0,0.9047619047619048,0.8461538461538461,0.9012345679012347
256.0,0.0005,10.0,64.0,0.3,8.0,2.0,0.9047619047619048,0.8461538461538461,0.9234567901234568
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.9047619047619048,0.8461538461538461,0.908641975308642
128.0,0.0005,10.0,32.0,0.2,4.0,4.0,0.9047619047619048,0.8461538461538461,0.9061728395061729
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.9047619047619048,0.8461538461538461,0.9358024691358026
128.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8809523809523809,0.8387096774193549,0.925925925925926
256.0,0.001,10.0,32.0,0.2,4.0,2.0,0.8809523809523809,0.8387096774193549,0.9160493827160493
128.0,0.0005,10.0,32.0,0.3,4.0,6.0,0.8809523809523809,0.8275862068965517,0.9209876543209876
256.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.8809523809523809,0.8275862068965517,0.908641975308642
128.0,0.001,20.0,32.0,0.2,8.0,6.0,0.8809523809523809,0.8275862068965517,0.9456790123456791
128.0,0.001,10.0,32.0,0.3,8.0,2.0,0.8809523809523809,0.8275862068965517,0.9234567901234567
256.0,0.0005,10.0,64.0,0.2,4.0,2.0,0.8809523809523809,0.8275862068965517,0.9308641975308642
128.0,0.001,20.0,32.0,0.3,8.0,4.0,0.8809523809523809,0.8275862068965517,0.9012345679012346
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.8809523809523809,0.8275862068965517,0.8913580246913579
128.0,0.0005,20.0,64.0,0.3,8.0,2.0,0.8571428571428571,0.8235294117647058,0.9382716049382717
