learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.05,10.0,3.0,0.5,0.6666666666666666,0.5,1.0,0.52
0.05,30.0,3.0,0.5,0.6666666666666666,0.5,1.0,0.43999999999999995
0.1,10.0,3.0,0.5,0.6666666666666666,0.5,1.0,0.48
0.1,30.0,3.0,0.5,0.6666666666666666,0.5,1.0,0.44000000000000006
0.1,10.0,5.0,0.5,0.6666666666666666,0.5,1.0,0.4
0.05,50.0,5.0,0.5,0.6666666666666666,0.5,1.0,0.48
0.001,30.0,5.0,0.5,0.6666666666666666,0.5,1.0,0.5399999999999999
0.1,50.0,5.0,0.5,0.6153846153846154,0.5,0.8,0.48
0.001,50.0,5.0,0.5,0.6153846153846154,0.5,0.8,0.48
0.001,50.0,3.0,0.5,0.6153846153846154,0.5,0.8,0.43999999999999995
0.1,30.0,5.0,0.5,0.5454545454545454,0.5,0.6,0.43999999999999995
0.001,10.0,3.0,0.5,0.5454545454545454,0.5,0.6,0.48
0.05,10.0,5.0,0.5,0.4444444444444444,0.5,0.4,0.52
0.001,10.0,5.0,0.5,0.2857142857142857,0.5,0.2,0.43999999999999995
0.05,30.0,5.0,0.5,0.0,0.0,0.0,0.4800000000000001
0.001,30.0,3.0,0.5,0.0,0.0,0.0,0.56
0.1,50.0,3.0,0.5,0.0,0.0,0.0,0.48
0.05,50.0,3.0,0.5,0.0,0.0,0.0,0.48
