learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.05,10.0,3.0,1.0,1.0,1.0,1.0,1.0
0.1,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,10.0,3.0,0.9,0.9333333333333333,0.875,1.0,0.9523809523809524
0.05,30.0,5.0,0.9,0.9333333333333333,0.875,1.0,0.9523809523809524
0.05,10.0,5.0,0.9,0.9230769230769231,1.0,0.8571428571428571,1.0
0.1,30.0,5.0,0.9,0.9230769230769231,1.0,0.8571428571428571,1.0
0.1,10.0,5.0,0.9,0.9230769230769231,1.0,0.8571428571428571,1.0
0.05,50.0,3.0,0.9,0.9230769230769231,1.0,0.8571428571428571,1.0
0.1,10.0,3.0,0.9,0.9230769230769231,1.0,0.8571428571428571,0.9523809523809524
0.1,30.0,3.0,0.9,0.9230769230769231,1.0,0.8571428571428571,1.0
0.001,30.0,5.0,0.9,0.9230769230769231,1.0,0.8571428571428571,0.9523809523809524
0.05,50.0,5.0,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8095238095238095
0.001,10.0,5.0,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619049
0.001,50.0,5.0,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9523809523809524
0.001,30.0,3.0,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9523809523809524
0.001,50.0,3.0,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9523809523809524
0.1,50.0,5.0,0.8,0.8333333333333334,1.0,0.7142857142857143,1.0
0.05,30.0,3.0,0.7,0.7272727272727273,1.0,0.5714285714285714,0.9523809523809524
