learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.1,10.0,3.0,0.8333333333333334,0.9,0.8181818181818182,1.0,0.6111111111111112
0.1,50.0,5.0,0.75,0.8571428571428571,0.75,1.0,0.3611111111111111
0.1,10.0,5.0,0.75,0.8571428571428571,0.75,1.0,0.4074074074074074
0.05,10.0,3.0,0.75,0.8571428571428571,0.75,1.0,0.25
0.05,50.0,5.0,0.75,0.8571428571428571,0.75,1.0,0.17592592592592593
0.05,30.0,5.0,0.75,0.8571428571428571,0.75,1.0,0.25
0.05,10.0,5.0,0.75,0.8571428571428571,0.75,1.0,0.24074074074074076
0.001,30.0,3.0,0.7083333333333334,0.8205128205128205,0.7619047619047619,0.8888888888888888,0.5
0.001,10.0,3.0,0.7083333333333334,0.8205128205128205,0.7619047619047619,0.8888888888888888,0.37962962962962965
0.1,30.0,3.0,0.6666666666666666,0.8,0.7272727272727273,0.8888888888888888,0.16666666666666666
0.001,30.0,5.0,0.6666666666666666,0.7894736842105263,0.75,0.8333333333333334,0.49074074074074076
0.001,50.0,3.0,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7407407407407408
0.001,50.0,5.0,0.625,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.6018518518518519
0.1,30.0,5.0,0.5833333333333334,0.7368421052631579,0.7,0.7777777777777778,0.5092592592592593
0.1,50.0,3.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.31481481481481477
0.05,30.0,3.0,0.5,0.6,0.75,0.5,0.4444444444444444
0.001,10.0,5.0,0.5,0.6,0.75,0.5,0.34259259259259256
0.05,50.0,3.0,0.5416666666666666,0.5925925925925926,0.8888888888888888,0.4444444444444444,0.537037037037037
