learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.8518518518518519,0.8666666666666667,0.8833333333333333
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8518518518518519,0.8666666666666667,0.8833333333333333
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8518518518518519,0.8571428571428571,0.9111111111111111
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8518518518518519,0.8571428571428571,0.8833333333333333
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.8518518518518519,0.8571428571428571,0.8111111111111112
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8148148148148148,0.8387096774193549,0.8555555555555556
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.8148148148148148,0.8387096774193549,0.8611111111111112
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8148148148148148,0.8387096774193549,0.8555555555555555
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.8148148148148148,0.8275862068965517,0.8444444444444443
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8148148148148148,0.8275862068965517,0.8388888888888889
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8148148148148148,0.8275862068965517,0.85
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.8148148148148148,0.8275862068965517,0.9
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.8148148148148148,0.8275862068965517,0.8277777777777778
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8148148148148148,0.8275862068965517,0.9055555555555557
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8148148148148148,0.8275862068965517,0.8611111111111112
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.8148148148148148,0.8275862068965517,0.8333333333333334
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8148148148148148,0.8275862068965517,0.8333333333333334
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.8148148148148148,0.8275862068965517,0.8666666666666667
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8148148148148148,0.8275862068965517,0.8722222222222223
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.7777777777777778,0.8235294117647058,0.6666666666666667
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.1,0.7777777777777778,0.8235294117647058,0.6888888888888889
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8148148148148148,0.8148148148148148,0.8777777777777778
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7777777777777778,0.8125,0.8388888888888889
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.7777777777777778,0.8125,0.8500000000000001
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.7777777777777778,0.8125,0.7777777777777778
0.1,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.7407407407407407,0.8108108108108109,0.711111111111111
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.7777777777777778,0.8,0.8277777777777778
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.7407407407407407,0.8,0.7
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.7777777777777778,0.8,0.8333333333333334
0.001,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7407407407407407,0.8,0.7611111111111111
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.7407407407407407,0.8,0.7777777777777778
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7407407407407407,0.8,0.8222222222222222
0.05,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7407407407407407,0.8,0.7666666666666667
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.7407407407407407,0.8,0.8444444444444444
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.7777777777777778,0.8,0.8333333333333334
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.7777777777777778,0.8,0.8555555555555556
0.05,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.7407407407407407,0.8,0.788888888888889
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.7777777777777778,0.8,0.85
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.7777777777777778,0.8,0.85
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7407407407407407,0.8,0.7722222222222223
0.05,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.7777777777777778,0.8,0.8388888888888889
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7407407407407407,0.7878787878787878,0.8111111111111111
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.1,0.7407407407407407,0.7878787878787878,0.7888888888888889
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.7407407407407407,0.7878787878787878,0.8500000000000001
