learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.1,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.1,30.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.05,10.0,3.0,1.0,1.0,1.0,1.0,1.0
0.05,30.0,3.0,1.0,1.0,1.0,1.0,1.0
0.05,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.1,10.0,3.0,1.0,1.0,1.0,1.0,1.0
0.1,30.0,3.0,1.0,1.0,1.0,1.0,1.0
0.1,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.05,10.0,5.0,1.0,1.0,1.0,1.0,1.0
0.05,30.0,5.0,1.0,1.0,1.0,1.0,1.0
0.05,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.1,10.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,30.0,3.0,0.95,0.9473684210526315,0.9,1.0,1.0
0.001,10.0,3.0,0.45,0.6206896551724138,0.45,1.0,1.0
0.001,10.0,5.0,0.45,0.6206896551724138,0.45,1.0,1.0
