learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.05,30.0,5.0,0.7777777777777778,0.6666666666666666,0.5,1.0,0.8571428571428572
0.001,30.0,3.0,0.7777777777777778,0.5,0.5,0.5,0.7142857142857142
0.1,50.0,5.0,0.5555555555555556,0.3333333333333333,0.25,0.5,0.6428571428571428
0.05,50.0,3.0,0.4444444444444444,0.2857142857142857,0.2,0.5,0.4285714285714286
0.1,10.0,3.0,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.5,0.35714285714285715
0.001,50.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.2857142857142857
0.1,30.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714
0.1,10.0,5.0,0.7777777777777778,0.0,0.0,0.0,0.7142857142857143
0.05,50.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.1428571428571429
0.05,10.0,5.0,0.7777777777777778,0.0,0.0,0.0,0.6428571428571429
0.001,10.0,3.0,0.5555555555555556,0.0,0.0,0.0,0.4285714285714286
0.001,30.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715
0.1,50.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714
0.1,30.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.3571428571428572
0.05,30.0,3.0,0.7777777777777778,0.0,0.0,0.0,0.7857142857142857
0.05,10.0,3.0,0.7777777777777778,0.0,0.0,0.0,0.5714285714285714
0.001,50.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714
0.001,10.0,5.0,0.5555555555555556,0.0,0.0,0.0,0.4285714285714286
