learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,precision,recall,auc_roc
0.05,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.8571428571428571
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.7857142857142857
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.8928571428571428
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.1,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.7857142857142857
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.7857142857142857
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.8928571428571428
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9285714285714286
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.1,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.8214285714285714
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9642857142857143
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.9090909090909091,0.9333333333333333,0.875,1.0,0.9285714285714286
