learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,1.0,1.0,1.0
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,1.0,1.0,1.0
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,1.0,1.0,1.0
0.001,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9811320754716981,0.9090909090909091,1.0
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9811320754716981,0.9090909090909091,0.9874999999999999
0.001,10.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9811320754716981,0.9090909090909091,1.0
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9811320754716981,0.9090909090909091,0.9958333333333333
0.001,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.9811320754716981,0.8888888888888888,1.0
