learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.9545454545454546,0.9230769230769231,0.8571428571428571
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.8571428571428571,0.838095238095238
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428572
0.05,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.819047619047619
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8285714285714286
0.001,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428572
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428571
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428571
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8285714285714286
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8380952380952381
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8380952380952381
0.05,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.8333333333333334,0.8285714285714286
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.8333333333333334,0.819047619047619
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.8333333333333334,0.8571428571428571
0.001,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8476190476190476
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.7809523809523808
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.001,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428572
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8285714285714286
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428571
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8285714285714286
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428572
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8571428571428571
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.9090909090909091,0.8333333333333334,0.8761904761904762
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.8333333333333334,0.8476190476190475
0.05,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.8333333333333334,0.8095238095238095
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.8333333333333334,0.8380952380952381
