learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.8055555555555556,0.46153846153846156,0.7611111111111111
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.8055555555555556,0.46153846153846156,0.7388888888888889
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7222222222222222,0.4444444444444444,0.7888888888888889
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.7777777777777778,0.42857142857142855,0.7333333333333333
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8333333333333334,0.4,0.75
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.75,0.4,0.7444444444444445
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8333333333333334,0.4,0.7388888888888889
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7222222222222222,0.375,0.6611111111111111
0.001,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7222222222222222,0.375,0.7
0.001,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.7222222222222222,0.375,0.7388888888888889
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.7222222222222222,0.375,0.6611111111111111
0.001,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.7222222222222222,0.375,0.7333333333333333
0.001,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.8055555555555556,0.36363636363636365,0.7444444444444445
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.8055555555555556,0.36363636363636365,0.5777777777777777
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.8055555555555556,0.36363636363636365,0.7444444444444445
0.001,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.2,0.6944444444444444,0.35294117647058826,0.7222222222222222
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7777777777777778,0.3333333333333333,0.7333333333333334
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7777777777777778,0.3333333333333333,0.7888888888888889
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7777777777777778,0.3333333333333333,0.7388888888888889
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.8611111111111112,0.2857142857142857,0.6222222222222222
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8611111111111112,0.2857142857142857,0.7444444444444445
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.7222222222222222,0.2857142857142857,0.6555555555555556
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.5555555555555556,0.2727272727272727,0.6944444444444444
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8333333333333334,0.25,0.6722222222222223
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.8333333333333334,0.25,0.6444444444444445
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.8333333333333334,0.25,0.6388888888888888
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.8333333333333334,0.25,0.7388888888888889
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.8333333333333334,0.25,0.7166666666666667
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.8055555555555556,0.2222222222222222,0.7222222222222222
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.8055555555555556,0.2222222222222222,0.6722222222222223
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.8055555555555556,0.2222222222222222,0.6888888888888888
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.8055555555555556,0.2222222222222222,0.6944444444444444
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8055555555555556,0.2222222222222222,0.8388888888888888
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.8055555555555556,0.2222222222222222,0.6833333333333333
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.8055555555555556,0.2222222222222222,0.7166666666666667
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.8055555555555556,0.2222222222222222,0.7166666666666667
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.8055555555555556,0.2222222222222222,0.7166666666666667
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.1,0.8055555555555556,0.2222222222222222,0.7388888888888889
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8055555555555556,0.2222222222222222,0.7222222222222222
0.001,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.7777777777777778,0.2,0.7166666666666667
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.1,0.7777777777777778,0.2,0.6833333333333333
0.05,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.2,0.75,0.18181818181818182,0.29444444444444445
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.75,0.18181818181818182,0.7055555555555555
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.75,0.18181818181818182,0.7
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.75,0.18181818181818182,0.7388888888888889
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.7222222222222222,0.16666666666666666,0.7055555555555555
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.7222222222222222,0.16666666666666666,0.7222222222222222
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.3888888888888889,0.15384615384615385,0.3722222222222222
0.1,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.8333333333333334,0.0,0.7111111111111112
0.05,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.8333333333333334,0.0,0.6111111111111112
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8333333333333334,0.0,0.7166666666666667
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8333333333333334,0.0,0.7666666666666667
