learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.7619047619047619,0.8484848484848485,0.6071428571428571
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7380952380952381,0.8253968253968254,0.6198979591836735
0.001,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.8235294117647058,0.6045918367346939
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8181818181818182,0.5714285714285714
0.001,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.6904761904761905,0.8115942028985508,0.451530612244898
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.6904761904761905,0.8115942028985508,0.6479591836734694
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.6904761904761905,0.8115942028985508,0.5459183673469388
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6904761904761905,0.8115942028985508,0.5459183673469388
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.6904761904761905,0.8059701492537313,0.5586734693877551
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.528061224489796
0.1,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.6071428571428572
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.5688775510204082
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.43112244897959184
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.6224489795918368
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.6198979591836735
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.41326530612244894
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5892857142857143
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5
0.05,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5867346938775511
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.44897959183673464
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.5114795918367347
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.41581632653061223
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.6666666666666666,0.8,0.4681122448979592
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.576530612244898
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.5892857142857143
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.44387755102040816
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.3826530612244898
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.6301020408163265
0.05,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.6147959183673469
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.5318877551020408
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.6071428571428571
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.6428571428571429
0.05,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.6045918367346939
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.45663265306122447
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.3724489795918367
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.5918367346938775
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.5969387755102041
0.05,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.8,0.5892857142857143
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6666666666666666,0.8,0.5867346938775511
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.4005102040816326
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.6377551020408163
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5994897959183674
0.1,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5790816326530612
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.8,0.5229591836734694
