learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.1,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7413793103448276,0.6666666666666666,0.7284427284427285
0.1,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.7413793103448276,0.6341463414634146,0.7052767052767053
0.1,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.7586206896551724,0.631578947368421,0.6949806949806949
0.1,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.7241379310344828,0.6190476190476191,0.722007722007722
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.7241379310344828,0.6190476190476191,0.6782496782496783
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7586206896551724,0.6111111111111112,0.7323037323037322
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.6896551724137931,0.6086956521739131,0.631917631917632
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.7068965517241379,0.6046511627906976,0.6628056628056629
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.6551724137931034,0.6,0.7335907335907336
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.7241379310344828,0.6,0.7413127413127414
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.6724137931034483,0.5957446808510638,0.676962676962677
0.1,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.1,0.7413793103448276,0.5945945945945946,0.5971685971685972
0.05,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.5689655172413793,0.5901639344262295,0.5868725868725868
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.6551724137931034,0.5833333333333334,0.6975546975546975
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7241379310344828,0.5789473684210527,0.667953667953668
0.1,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7241379310344828,0.5789473684210527,0.7117117117117118
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.7241379310344828,0.5789473684210527,0.6512226512226511
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.7241379310344828,0.5789473684210527,0.6576576576576576
0.1,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.7241379310344828,0.5789473684210527,0.7027027027027026
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.6724137931034483,0.5777777777777777,0.6988416988416988
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.6724137931034483,0.5777777777777777,0.6293436293436293
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.6206896551724138,0.5769230769230769,0.6473616473616474
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.5689655172413793,0.576271186440678,0.7117117117117118
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.5172413793103449,0.5757575757575758,0.7284427284427284
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.7413793103448276,0.5714285714285714,0.7001287001287001
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.5862068965517241,0.5714285714285714,0.6435006435006435
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.7413793103448276,0.5714285714285714,0.6138996138996139
0.05,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.4482758620689655,0.5675675675675675,0.6833976833976834
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.7068965517241379,0.5641025641025641,0.7232947232947233
0.1,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.7068965517241379,0.5641025641025641,0.6988416988416989
0.1,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.7068965517241379,0.5641025641025641,0.637065637065637
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.7068965517241379,0.5641025641025641,0.7541827541827543
0.1,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.46551724137931033,0.5633802816901409,0.703989703989704
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.5689655172413793,0.5614035087719298,0.7413127413127413
0.05,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.6206896551724138,0.56,0.6949806949806949
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.6724137931034483,0.5581395348837209,0.6241956241956241
0.05,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.5344827586206896,0.5573770491803278,0.7001287001287001
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.7241379310344828,0.5555555555555556,0.7091377091377091
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.7241379310344828,0.5555555555555556,0.6370656370656371
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.7241379310344828,0.5555555555555556,0.6241956241956241
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.7241379310344828,0.5555555555555556,0.6846846846846847
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.5,0.5538461538461539,0.7374517374517374
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.5517241379310345,0.5517241379310345,0.712998712998713
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.5517241379310345,0.5517241379310345,0.685971685971686
0.1,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.5517241379310345,0.5517241379310345,0.6821106821106822
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.6896551724137931,0.55,0.7104247104247104
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.6896551724137931,0.55,0.6563706563706563
0.1,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.2,0.6896551724137931,0.55,0.7207207207207207
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.6896551724137931,0.55,0.5997425997425997
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.6896551724137931,0.55,0.6563706563706563
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.603448275862069,0.5490196078431373,0.6138996138996139
0.1,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.5689655172413793,0.5454545454545454,0.7464607464607463
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.4827586206896552,0.5454545454545454,0.6435006435006435
0.05,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.5689655172413793,0.5454545454545454,0.6267696267696268
