learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.6376811594202898,0.7252747252747253,0.6470588235294118
0.05,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.6086956521739131,0.7216494845360825,0.6126050420168068
0.1,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.6231884057971014,0.717391304347826,0.6672268907563026
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.6231884057971014,0.717391304347826,0.6411764705882352
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.5942028985507246,0.7083333333333334,0.6369747899159663
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.5797101449275363,0.7070707070707071,0.6310924369747899
0.1,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.5797101449275363,0.7070707070707071,0.6378151260504201
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.5797101449275363,0.7010309278350515,0.6588235294117647
0.1,10.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.5797101449275363,0.7010309278350515,0.6361344537815126
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.5652173913043478,0.7,0.6344537815126051
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.5652173913043478,0.7,0.6563025210084034
0.05,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.5652173913043478,0.7,0.5907563025210085
0.001,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.5652173913043478,0.7,0.6529411764705882
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6231884057971014,0.6976744186046512,0.6243697478991597
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.6086956521739131,0.6966292134831461,0.6487394957983194
0.001,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.5797101449275363,0.6947368421052632,0.646218487394958
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.2,0.5652173913043478,0.6938775510204082,0.6731092436974789
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.5652173913043478,0.6938775510204082,0.5840336134453782
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.5652173913043478,0.6938775510204082,0.6302521008403361
0.1,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.5507246376811594,0.693069306930693,0.6252100840336134
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.5507246376811594,0.693069306930693,0.5882352941176471
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.5507246376811594,0.693069306930693,0.6647058823529413
0.001,10.0,5.0,64.0,2.0,1.0,0.2,0.1,0.1,0.5507246376811594,0.693069306930693,0.6655462184873949
0.05,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.5507246376811594,0.693069306930693,0.6092436974789915
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.5507246376811594,0.693069306930693,0.6546218487394958
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.2,0.6231884057971014,0.6904761904761905,0.6378151260504201
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.6086956521739131,0.6896551724137931,0.6697478991596638
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.5942028985507246,0.6888888888888889,0.6436974789915966
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.5652173913043478,0.6875,0.6302521008403361
0.05,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.5652173913043478,0.6875,0.6218487394957983
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.5507246376811594,0.6868686868686869,0.653781512605042
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.5507246376811594,0.6868686868686869,0.6008403361344538
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.2,0.5507246376811594,0.6868686868686869,0.6579831932773109
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.5966386554621849
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.5362318840579711,0.6862745098039216,0.6319327731092437
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.5362318840579711,0.6862745098039216,0.6336134453781512
0.1,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.5362318840579711,0.6862745098039216,0.6386554621848739
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.5362318840579711,0.6862745098039216,0.611764705882353
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.5362318840579711,0.6862745098039216,0.619327731092437
0.1,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.5362318840579711,0.6862745098039216,0.6210084033613446
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.5362318840579711,0.6862745098039216,0.6478991596638656
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.5362318840579711,0.6862745098039216,0.5890756302521009
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.5362318840579711,0.6862745098039216,0.5949579831932773
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.5362318840579711,0.6862745098039216,0.6302521008403361
0.1,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.5362318840579711,0.6862745098039216,0.6470588235294118
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.6201680672268908
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.5362318840579711,0.6862745098039216,0.6302521008403361
0.1,10.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.5362318840579711,0.6862745098039216,0.6336134453781512
0.05,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.5362318840579711,0.6862745098039216,0.6092436974789915
0.05,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.5362318840579711,0.6862745098039216,0.5932773109243697
0.1,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.5362318840579711,0.6862745098039216,0.6168067226890757
0.1,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.5362318840579711,0.6862745098039216,0.6142857142857143
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.5823529411764705
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.6016806722689075
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.5362318840579711,0.6862745098039216,0.6411764705882352
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.6075630252100841
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.5362318840579711,0.6862745098039216,0.611764705882353
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.5362318840579711,0.6862745098039216,0.6084033613445378
0.001,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.5362318840579711,0.6862745098039216,0.6100840336134453
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.5362318840579711,0.6862745098039216,0.611764705882353
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.5797101449275363,0.6813186813186813,0.5571428571428572
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.5797101449275363,0.6813186813186813,0.6361344537815126
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.5652173913043478,0.6808510638297872,0.6100840336134454
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.5652173913043478,0.6808510638297872,0.5571428571428572
0.05,10.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.5652173913043478,0.6808510638297872,0.6428571428571429
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.5362318840579711,0.68,0.6033613445378151
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.5362318840579711,0.68,0.6134453781512604
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.5362318840579711,0.68,0.5680672268907563
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.5362318840579711,0.68,0.5899159663865545
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.5362318840579711,0.68,0.5873949579831932
0.05,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.5362318840579711,0.68,0.5936974789915966
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.5217391304347826,0.6796116504854369,0.5638655462184873
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.5217391304347826,0.6796116504854369,0.584873949579832
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.5217391304347826,0.6796116504854369,0.6252100840336134
