learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.90625,0.88,0.9393518518518518
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.90625,0.88,0.9319444444444445
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.8958333333333334,0.8717948717948718,0.9324074074074074
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.8958333333333334,0.8717948717948718,0.9347222222222223
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8958333333333334,0.8717948717948718,0.9314814814814814
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.8958333333333334,0.868421052631579,0.9282407407407407
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.8958333333333334,0.868421052631579,0.9375
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.8958333333333334,0.8611111111111112,0.9393518518518519
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.8854166666666666,0.8607594936708861,0.9342592592592592
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.8854166666666666,0.8607594936708861,0.9407407407407408
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.8854166666666666,0.8571428571428571,0.9319444444444444
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.8854166666666666,0.8571428571428571,0.9388888888888889
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8854166666666666,0.8571428571428571,0.9365740740740741
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.8854166666666666,0.8571428571428571,0.9222222222222223
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.8854166666666666,0.8533333333333334,0.9273148148148147
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8854166666666666,0.8533333333333334,0.9435185185185185
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8854166666666666,0.8533333333333334,0.9347222222222222
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.875,0.8461538461538461,0.9319444444444445
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.875,0.8461538461538461,0.9296296296296296
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.875,0.8461538461538461,0.913425925925926
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.875,0.8461538461538461,0.9296296296296297
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.875,0.8461538461538461,0.937962962962963
