learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.001,10.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,30.0,3.0,1.0,1.0,1.0,1.0,1.0
0.05,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,10.0,5.0,1.0,1.0,1.0,1.0,1.0
0.05,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.05,30.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.1,30.0,3.0,0.90625,0.9302325581395349,0.8695652173913043,1.0,0.9625
0.05,30.0,5.0,0.90625,0.9302325581395349,0.8695652173913043,1.0,1.0
0.05,10.0,5.0,0.84375,0.8888888888888888,0.8,1.0,0.9583333333333333
0.1,30.0,5.0,0.84375,0.8717948717948718,0.8947368421052632,0.85,0.9166666666666666
0.05,10.0,3.0,0.78125,0.851063829787234,0.7407407407407407,1.0,0.9416666666666667
0.1,10.0,5.0,0.75,0.8333333333333334,0.7142857142857143,1.0,0.8791666666666667
0.1,50.0,5.0,0.78125,0.7878787878787878,1.0,0.65,0.9416666666666668
0.1,10.0,3.0,0.65625,0.7843137254901961,0.6451612903225806,1.0,0.6979166666666666
0.1,50.0,3.0,0.53125,0.6341463414634146,0.6190476190476191,0.65,0.55
