learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.8484848484848485,0.8275862068965517,0.9481481481481482
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8181818181818182,0.8,0.8925925925925926
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7575757575757576,0.7894736842105263,0.837037037037037
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.7575757575757576,0.7894736842105263,0.9370370370370371
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7575757575757576,0.7894736842105263,0.8222222222222222
0.001,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.7878787878787878,0.7878787878787878,0.8518518518518519
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.7575757575757576,0.7777777777777778,0.8592592592592593
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.7272727272727273,0.7692307692307693,0.9111111111111111
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.2,0.7878787878787878,0.7586206896551724,0.8666666666666667
0.001,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.7575757575757576,0.75,0.8666666666666667
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.696969696969697,0.75,0.8703703703703705
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.696969696969697,0.75,0.9
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.7272727272727273,0.7428571428571429,0.8851851851851852
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.7272727272727273,0.7428571428571429,0.837037037037037
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.7272727272727273,0.7428571428571429,0.874074074074074
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.7878787878787878,0.7407407407407407,0.8851851851851852
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.6666666666666666,0.7317073170731707,0.8629629629629629
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.6666666666666666,0.7317073170731707,0.8666666666666667
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.6666666666666666,0.7317073170731707,0.9185185185185185
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.696969696969697,0.7222222222222222,0.8037037037037037
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7575757575757576,0.7142857142857143,0.8518518518518519
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.7575757575757576,0.7142857142857143,0.862962962962963
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.6363636363636364,0.7142857142857143,0.9000000000000001
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.1,0.7575757575757576,0.7142857142857143,0.9074074074074074
0.05,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.2,0.6363636363636364,0.7142857142857143,0.8148148148148148
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.6363636363636364,0.7142857142857143,0.837037037037037
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.7272727272727273,0.7096774193548387,0.8703703703703705
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.6666666666666666,0.7027027027027027,0.7333333333333334
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.6363636363636364,0.7,0.7481481481481481
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6363636363636364,0.7,0.7111111111111111
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.6060606060606061,0.6976744186046512,0.9296296296296297
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.7878787878787878,0.6956521739130435,0.8592592592592593
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.7575757575757576,0.6923076923076923,0.888888888888889
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.696969696969697,0.6875,0.762962962962963
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.5757575757575758,0.6666666666666666,0.7555555555555555
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.5151515151515151,0.6521739130434783,0.7666666666666666
0.1,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.6060606060606061,0.6486486486486487,0.6740740740740742
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.7272727272727273,0.64,0.7666666666666667
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.48484848484848486,0.6382978723404256,0.7074074074074074
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.48484848484848486,0.6382978723404256,0.7703703703703704
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.48484848484848486,0.6382978723404256,0.8037037037037037
0.001,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.48484848484848486,0.6382978723404256,0.9074074074074074
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.48484848484848486,0.6382978723404256,0.8222222222222222
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.5151515151515151,0.6363636363636364,0.5740740740740741
0.1,10.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.6962962962962963
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.6814814814814815
0.05,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6111111111111112
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.7962962962962963
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.5333333333333334
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.8407407407407408
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.5259259259259259
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.5074074074074074
0.05,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.38518518518518524
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.8555555555555556
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.22962962962962963
0.001,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.4185185185185185
0.1,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.7222222222222222
0.1,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.7037037037037037
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.45454545454545453,0.625,0.6666666666666666
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.6111111111111112
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.5481481481481482
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.2814814814814815
0.05,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.725925925925926
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.7185185185185186
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6703703703703703
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6444444444444445
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6925925925925926
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.4592592592592593
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.5666666666666667
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.45454545454545453,0.625,0.6814814814814815
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.45454545454545453,0.625,0.4740740740740741
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6925925925925926
0.05,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.47777777777777775
0.001,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.7703703703703704
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.47777777777777775
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.825925925925926
0.05,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.45454545454545453,0.625,0.5703703703703704
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.7703703703703704
0.1,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.45454545454545453,0.625,0.8148148148148148
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.45454545454545453,0.625,0.6888888888888889
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.45454545454545453,0.625,0.31481481481481477
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.45454545454545453,0.625,0.7148148148148148
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.45454545454545453,0.625,0.5037037037037037
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.525925925925926
0.1,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6333333333333333
0.1,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.5111111111111111
0.1,10.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.4481481481481481
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.5629629629629629
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.7925925925925926
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.45454545454545453,0.625,0.3851851851851852
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.45454545454545453,0.625,0.6037037037037037
