learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.7903225806451613,0.6285714285714286,0.6717171717171718
0.05,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8064516129032258,0.625,0.6515151515151515
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.8064516129032258,0.625,0.6856060606060606
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.7741935483870968,0.6111111111111112,0.6767676767676768
0.1,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.7903225806451613,0.6060606060606061,0.6641414141414141
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.1,0.7903225806451613,0.6060606060606061,0.6893939393939394
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.7903225806451613,0.6060606060606061,0.6792929292929293
0.05,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7903225806451613,0.6060606060606061,0.6919191919191918
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.7903225806451613,0.6060606060606061,0.6717171717171717
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.7903225806451613,0.6060606060606061,0.6578282828282829
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.7903225806451613,0.6060606060606061,0.6691919191919192
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.7903225806451613,0.6060606060606061,0.6578282828282829
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.7741935483870968,0.5882352941176471,0.702020202020202
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7741935483870968,0.5882352941176471,0.6376262626262627
0.05,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.7741935483870968,0.5882352941176471,0.6818181818181818
0.001,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.7741935483870968,0.5882352941176471,0.6578282828282828
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7903225806451613,0.5806451612903226,0.6767676767676768
0.05,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7903225806451613,0.5806451612903226,0.6717171717171717
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.7903225806451613,0.5806451612903226,0.6666666666666666
0.05,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.7903225806451613,0.5806451612903226,0.6881313131313131
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.7903225806451613,0.5806451612903226,0.7234848484848485
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.7903225806451613,0.5806451612903226,0.6477272727272727
0.05,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.7903225806451613,0.5806451612903226,0.6565656565656566
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.7419354838709677,0.5789473684210527,0.6666666666666666
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.7419354838709677,0.5789473684210527,0.6704545454545455
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.7419354838709677,0.5789473684210527,0.7297979797979798
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.7419354838709677,0.5789473684210527,0.6553030303030303
0.05,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.1,0.7580645161290323,0.5714285714285714,0.6931818181818182
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.7580645161290323,0.5714285714285714,0.6868686868686869
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.7580645161290323,0.5714285714285714,0.6893939393939394
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.7741935483870968,0.5625,0.6553030303030303
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.7741935483870968,0.5625,0.672979797979798
0.1,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7741935483870968,0.5625,0.6704545454545455
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.7741935483870968,0.5625,0.6755050505050505
0.05,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7741935483870968,0.5625,0.6679292929292929
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.7741935483870968,0.5625,0.6590909090909091
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.7419354838709677,0.5555555555555556,0.6830808080808081
0.05,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7419354838709677,0.5555555555555556,0.6792929292929293
0.05,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.1,0.7419354838709677,0.5555555555555556,0.6388888888888888
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7419354838709677,0.5555555555555556,0.7272727272727272
0.05,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.7419354838709677,0.5555555555555556,0.6590909090909091
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.7419354838709677,0.5555555555555556,0.6679292929292929
0.1,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.7419354838709677,0.5555555555555556,0.672979797979798
0.05,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.7903225806451613,0.5517241379310345,0.7045454545454547
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.7096774193548387,0.55,0.667929292929293
0.1,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.7096774193548387,0.55,0.662878787878788
0.1,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.7580645161290323,0.5454545454545454,0.683080808080808
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7580645161290323,0.5454545454545454,0.6477272727272727
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.7580645161290323,0.5454545454545454,0.7297979797979797
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7580645161290323,0.5454545454545454,0.6313131313131313
0.05,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.7258064516129032,0.5405405405405406,0.6578282828282828
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7258064516129032,0.5405405405405406,0.6767676767676768
0.05,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.7258064516129032,0.5405405405405406,0.6641414141414141
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.7258064516129032,0.5405405405405406,0.6704545454545455
0.05,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.6935483870967742,0.5365853658536586,0.6439393939393939
0.05,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6935483870967742,0.5365853658536586,0.6805555555555555
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.1,0.7741935483870968,0.5333333333333333,0.6565656565656566
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.7741935483870968,0.5333333333333333,0.6805555555555556
0.001,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.5483870967741935,0.5333333333333333,0.7525252525252526
0.05,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.7741935483870968,0.5333333333333333,0.6641414141414141
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.7419354838709677,0.5294117647058824,0.6994949494949494
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.7419354838709677,0.5294117647058824,0.6136363636363636
0.1,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.5967741935483871,0.5283018867924528,0.6830808080808081
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.7096774193548387,0.5263157894736842,0.6654040404040404
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.7096774193548387,0.5263157894736842,0.6792929292929293
0.05,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.6774193548387096,0.5238095238095238,0.6603535353535354
0.1,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.5483870967741935,0.5172413793103449,0.5808080808080808
0.1,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7580645161290323,0.5161290322580645,0.6363636363636364
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7580645161290323,0.5161290322580645,0.6527777777777778
0.05,10.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.6935483870967742,0.5128205128205128,0.6565656565656566
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6451612903225806,0.5,0.6742424242424242
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.7741935483870968,0.5,0.7184343434343434
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.7096774193548387,0.5,0.6287878787878788
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.7419354838709677,0.5,0.6944444444444445
0.001,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.7419354838709677,0.5,0.7171717171717172
0.1,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7419354838709677,0.5,0.6527777777777778
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.7096774193548387,0.5,0.6515151515151515
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.41935483870967744,0.5,0.7512626262626263
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.7419354838709677,0.5,0.6919191919191919
0.05,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.46774193548387094,0.49230769230769234,0.6691919191919192
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.5645161290322581,0.49056603773584906,0.625
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.5967741935483871,0.4897959183673469,0.7209595959595959
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.6290322580645161,0.4888888888888889,0.6666666666666667
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.6290322580645161,0.4888888888888889,0.6704545454545455
0.001,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.4838709677419355,0.4838709677419355,0.6780303030303031
0.05,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.7580645161290323,0.4827586206896552,0.6881313131313131
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.7580645161290323,0.4827586206896552,0.6477272727272728
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.3709677419354839,0.48,0.6565656565656566
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.1,0.4032258064516129,0.4788732394366197,0.6957070707070707
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6129032258064516,0.4782608695652174,0.6414141414141414
0.05,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.6129032258064516,0.4782608695652174,0.6641414141414141
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.5,0.4745762711864407,0.6856060606060607
0.1,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.3548387096774194,0.47368421052631576,0.7159090909090908
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.7096774193548387,0.47058823529411764,0.726010101010101
0.1,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.45161290322580644,0.46875,0.5391414141414141
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.45161290322580644,0.46875,0.6792929292929294
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.7419354838709677,0.4666666666666667,0.6275252525252526
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7419354838709677,0.4666666666666667,0.61489898989899
0.1,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.3225806451612903,0.46153846153846156,0.6641414141414141
0.001,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.2,0.3225806451612903,0.46153846153846156,0.7664141414141414
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.6612903225806451,0.46153846153846156,0.6502525252525252
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.7741935483870968,0.46153846153846156,0.6426767676767677
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.6612903225806451,0.46153846153846156,0.6186868686868687
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.7741935483870968,0.46153846153846156,0.664141414141414
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7741935483870968,0.46153846153846156,0.6603535353535354
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.43548387096774194,0.46153846153846156,0.6805555555555556
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.3225806451612903,0.46153846153846156,0.6767676767676768
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.7741935483870968,0.46153846153846156,0.6275252525252526
0.001,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.3548387096774194,0.4594594594594595,0.7512626262626263
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.5806451612903226,0.4583333333333333,0.7184343434343434
0.1,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.3870967741935484,0.45714285714285713,0.5277777777777778
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.5,0.45614035087719296,0.6022727272727273
0.1,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.3064516129032258,0.45569620253164556,0.6300505050505051
0.1,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.3064516129032258,0.45569620253164556,0.5416666666666667
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.3064516129032258,0.45569620253164556,0.577020202020202
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7258064516129032,0.45161290322580644,0.6843434343434344
