learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.8709677419354839,0.9259259259259259,0.5800000000000001
0.05,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.8709677419354839,0.9259259259259259,0.5733333333333334
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.8709677419354839,0.9259259259259259,0.4733333333333334
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.8709677419354839,0.9259259259259259,0.64
0.05,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.8709677419354839,0.9259259259259259,0.6466666666666667
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.8709677419354839,0.9259259259259259,0.6066666666666667
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.8709677419354839,0.9259259259259259,0.7266666666666667
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.8709677419354839,0.9230769230769231,0.6733333333333333
0.05,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8709677419354839,0.9230769230769231,0.6466666666666666
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.8709677419354839,0.9230769230769231,0.64
0.05,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.8709677419354839,0.9230769230769231,0.6666666666666666
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.8709677419354839,0.9230769230769231,0.6733333333333333
0.1,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.8709677419354839,0.92,0.74
0.1,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.8709677419354839,0.92,0.6733333333333332
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.8709677419354839,0.92,0.6799999999999999
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.8709677419354839,0.92,0.6799999999999999
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.8709677419354839,0.92,0.6866666666666666
0.05,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.8387096774193549,0.9090909090909091,0.5966666666666667
0.05,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8387096774193549,0.9090909090909091,0.5
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.8387096774193549,0.9090909090909091,0.6533333333333333
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8387096774193549,0.9090909090909091,0.5533333333333333
0.05,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8387096774193549,0.9090909090909091,0.5233333333333333
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.8387096774193549,0.9090909090909091,0.54
