learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.9577464788732394,0.967741935483871,0.9700854700854701
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.9577464788732394,0.967741935483871,0.964957264957265
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.2,0.9436619718309859,0.9574468085106383,0.9564102564102563
0.001,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9436619718309859,0.9574468085106383,0.9803418803418803
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9436619718309859,0.9574468085106383,0.9478632478632479
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.9436619718309859,0.9574468085106383,0.9726495726495726
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9436619718309859,0.9574468085106383,0.9666666666666667
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.2,0.9436619718309859,0.9574468085106383,0.9777777777777779
0.001,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.9436619718309859,0.9565217391304348,0.9803418803418803
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9295774647887324,0.9473684210526315,0.9512820512820512
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9295774647887324,0.9473684210526315,0.9717948717948718
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9295774647887324,0.9473684210526315,0.982051282051282
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.9295774647887324,0.9473684210526315,0.9863247863247864
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9295774647887324,0.9473684210526315,0.9846153846153847
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.9295774647887324,0.9473684210526315,0.9572649572649572
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.9295774647887324,0.9473684210526315,0.9786324786324786
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9295774647887324,0.9473684210526315,0.9752136752136752
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9295774647887324,0.9473684210526315,0.9786324786324786
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.9295774647887324,0.9473684210526315,0.9692307692307692
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9295774647887324,0.9473684210526315,0.9025641025641026
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9295774647887324,0.9473684210526315,0.9581196581196582
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.9295774647887324,0.9473684210526315,0.9803418803418804
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9295774647887324,0.9473684210526315,0.9752136752136753
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9295774647887324,0.9473684210526315,0.8888888888888888
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9295774647887324,0.9473684210526315,0.9504273504273504
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9295774647887324,0.9473684210526315,0.9521367521367521
