learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.96,0.9534883720930233,0.9991732120711038
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.95,0.9425287356321839,0.992972302604382
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.95,0.9425287356321839,0.9962794543199669
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.95,0.9425287356321839,0.9785035138486978
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.95,0.9411764705882353,0.9884249689954527
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.95,0.9411764705882353,0.9875981810665565
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.95,0.9397590361445783,0.9834642414220752
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.94,0.9318181818181818,0.9921455146754857
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.94,0.9318181818181818,0.9884249689954526
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.94,0.9302325581395349,0.9681686647374949
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.94,0.9302325581395349,0.9842910293509716
0.1,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.94,0.9302325581395349,0.9946258784621744
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.94,0.9285714285714286,0.9855312112443159
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.94,0.9285714285714286,0.9776767259198015
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.94,0.926829268292683,0.965274906986358
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.94,0.926829268292683,0.9822240595287309
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.94,0.926829268292683,0.9842910293509715
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.1,0.94,0.926829268292683,0.9900785448532451
0.1,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.94,0.925,0.9900785448532452
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.93,0.9213483146067416,0.9863579991732121
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.93,0.9176470588235294,0.9801570897064902
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.93,0.9176470588235294,0.9813972715998347
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.93,0.9176470588235294,0.9805704836709384
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.93,0.9113924050632911,0.9834642414220753
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.92,0.9111111111111111,0.9954526663910707
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.92,0.9111111111111111,0.9933856965688301
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.92,0.9111111111111111,0.9830508474576272
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.92,0.9111111111111111,1.0
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.92,0.9090909090909091,0.9867713931376602
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.92,0.9069767441860465,0.9706490285241836
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.92,0.9047619047619048,0.9838776353865234
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.92,0.9047619047619048,0.9731293923108721
0.05,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.92,0.9024390243902439,0.9669284828441504
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.92,0.9,0.9685820587019429
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.91,0.898876404494382,0.9818106655642828
0.1,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.91,0.896551724137931,0.9702356345597354
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.91,0.8941176470588236,0.9681686647374947
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.91,0.8941176470588236,0.9710624224886317
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.91,0.8941176470588236,0.9524596940884663
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.91,0.891566265060241,0.9565936337329474
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.91,0.891566265060241,0.9710624224886317
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.91,0.891566265060241,0.9570070276973957
0.05,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.2,0.9,0.8913043478260869,0.9909053327821414
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.9,0.8913043478260869,0.9892517569243489
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9,0.8913043478260869,0.9830508474576272
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.91,0.8888888888888888,0.9508061182306738
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.91,0.8888888888888888,0.954940057875155
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.91,0.8888888888888888,0.9599007854485324
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.1,0.91,0.8888888888888888,0.9681686647374949
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.91,0.8888888888888888,0.9487391484084332
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.91,0.8888888888888888,0.9632079371641173
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.91,0.8888888888888888,0.9536998759818107
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.91,0.8888888888888888,0.9508061182306738
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.9,0.8863636363636364,0.9731293923108723
0.05,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.9,0.8863636363636364,0.9714758164530798
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.9,0.8863636363636364,0.9871847871021083
0.05,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.9,0.8837209302325582,0.9665150888797023
0.05,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.91,0.8831168831168831,0.9698222405952872
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.89,0.8817204301075269,0.9933856965688301
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9,0.8809523809523809,0.95824720959074
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9,0.8809523809523809,0.9570070276973955
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.9,0.8780487804878049,0.9466721785861927
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9,0.8780487804878049,0.937577511368334
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9,0.8780487804878049,0.9536998759818106
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9,0.8780487804878049,0.975609756097561
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.89,0.8764044943820225,0.9632079371641173
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9,0.875,0.9532864820173625
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.9,0.875,0.9458453906572964
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.89,0.8735632183908046,0.9545266639107068
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.89,0.8735632183908046,0.9429516329061596
0.05,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.88,0.8723404255319149,0.9925589086399338
0.1,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.88,0.8723404255319149,0.9904919388176933
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.88,0.8723404255319149,0.9710624224886316
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.89,0.8705882352941177,0.9520463001240181
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.88,0.8695652173913043,0.9400578751550228
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.88,0.8695652173913043,0.9520463001240183
0.1,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.2,0.88,0.8695652173913043,0.9834642414220753
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.1,0.1,0.89,0.8674698795180723,0.9553534518396031
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.89,0.8674698795180723,0.9574204216618437
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.89,0.8674698795180723,0.9561802397684994
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.89,0.8674698795180723,0.9260024803637866
0.1,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.9,0.8648648648648649,0.9880115750310046
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.89,0.8641975308641975,0.920214964861513
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.89,0.8641975308641975,0.9346837536171972
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.89,0.8641975308641975,0.9284828441504753
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.89,0.8641975308641975,0.9462587846217445
0.001,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.89,0.8641975308641975,0.9363373294749896
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.88,0.8636363636363636,0.9229020256304259
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.88,0.8636363636363636,0.9541132699462588
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.87,0.8631578947368421,0.9565936337329476
0.05,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.87,0.8631578947368421,0.9863579991732121
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.87,0.8631578947368421,0.93075651095494
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.2,0.87,0.8631578947368421,0.9751963621331129
0.05,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.87,0.8631578947368421,0.9487391484084333
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.87,0.8631578947368421,0.9995866060355519
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.89,0.8607594936708861,0.9536998759818106
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.89,0.8607594936708861,0.9491525423728814
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.87,0.8602150537634409,0.9570070276973957
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.87,0.8571428571428571,0.9570070276973957
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.86,0.8541666666666666,0.9623811492352211
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.86,0.8541666666666666,0.9582472095907401
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.86,0.8541666666666666,0.9822240595287308
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.86,0.8541666666666666,0.9805704836709385
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.86,0.8541666666666666,1.0
0.1,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.86,0.8541666666666666,0.9954526663910707
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.86,0.8541666666666666,0.9731293923108724
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.86,0.8541666666666666,0.9822240595287308
0.05,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.86,0.8541666666666666,0.9954526663910707
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.88,0.8536585365853658,0.913187267465895
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.88,0.8536585365853658,0.9384042992972302
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.88,0.8536585365853658,0.905746176105829
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.89,0.8493150684931506,0.9607275733774286
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.88,0.8461538461538461,0.9251756924348904
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.88,0.8461538461538461,0.9437784208350558
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.85,0.845360824742268,0.9884249689954526
0.1,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.85,0.845360824742268,0.992972302604382
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.85,0.845360824742268,0.9805704836709384
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.85,0.845360824742268,1.0
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.86,0.8444444444444444,0.9400578751550228
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.1,0.86,0.8444444444444444,0.9404712691194708
