learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.1,30.0,5.0,0.6666666666666666,0.625,0.625,0.625,0.7375
0.001,10.0,5.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.7875
0.1,30.0,3.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.775
0.05,50.0,5.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.7875
0.1,50.0,3.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.7875000000000001
0.1,50.0,5.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.775
0.05,50.0,3.0,0.7222222222222222,0.5454545454545454,1.0,0.375,0.7875000000000001
0.05,30.0,3.0,0.6666666666666666,0.5,0.75,0.375,0.7875000000000001
0.001,30.0,3.0,0.6666666666666666,0.5,0.75,0.375,0.7625
0.001,50.0,5.0,0.6666666666666666,0.5,0.75,0.375,0.75
0.05,30.0,5.0,0.6666666666666666,0.5,0.75,0.375,0.7625
0.001,50.0,3.0,0.6666666666666666,0.5,0.75,0.375,0.775
0.001,30.0,5.0,0.6111111111111112,0.46153846153846156,0.6,0.375,0.7625
0.05,10.0,3.0,0.6666666666666666,0.4,1.0,0.25,0.775
0.05,10.0,5.0,0.6111111111111112,0.2222222222222222,1.0,0.125,0.775
0.1,10.0,5.0,0.6111111111111112,0.2222222222222222,1.0,0.125,0.775
0.1,10.0,3.0,0.5555555555555556,0.0,0.0,0.0,0.75
0.001,10.0,3.0,0.5555555555555556,0.0,0.0,0.0,0.8
