learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9545454545454546,0.9696969696969697,0.96875
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.9545454545454546,0.967741935483871,0.96875
0.05,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.9411764705882353,0.8125
0.1,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9090909090909091,0.9411764705882353,0.8854166666666667
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.9411764705882353,0.8697916666666667
0.05,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.9411764705882353,0.890625
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.9090909090909091,0.9411764705882353,0.9166666666666667
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9090909090909091,0.9411764705882353,0.8854166666666667
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.9411764705882353,0.9479166666666667
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.9090909090909091,0.9411764705882353,0.90625
0.001,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.9090909090909091,0.9411764705882353,0.875
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9090909090909091,0.9375,0.9583333333333334
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9090909090909091,0.9375,0.890625
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.9090909090909091,0.9375,0.9583333333333334
0.1,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9090909090909091,0.9375,0.9583333333333334
0.1,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.9090909090909091,0.9375,0.8697916666666667
0.05,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.9090909090909091,0.9375,0.8489583333333334
0.1,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.9090909090909091,0.9375,0.8854166666666667
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.9090909090909091,0.9375,0.8958333333333334
0.05,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.9090909090909091,0.9375,0.9010416666666667
0.001,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.9333333333333333,0.96875
0.001,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9090909090909091,0.9333333333333333,1.0
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9090909090909091,0.9333333333333333,0.96875
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9090909090909091,0.9333333333333333,0.96875
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8636363636363636,0.9142857142857143,0.8125
0.1,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8636363636363636,0.9142857142857143,0.8697916666666667
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.8636363636363636,0.9142857142857143,0.734375
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.8636363636363636,0.9142857142857143,0.7083333333333334
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.8636363636363636,0.9142857142857143,0.9583333333333334
0.05,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8636363636363636,0.9142857142857143,0.7916666666666667
0.05,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.8636363636363636,0.9142857142857143,0.75
0.1,10.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.8636363636363636,0.9142857142857143,0.859375
0.05,10.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8636363636363636,0.9142857142857143,0.8020833333333334
0.05,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8636363636363636,0.9142857142857143,0.8333333333333333
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.8636363636363636,0.9142857142857143,0.796875
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.8636363636363636,0.9142857142857143,0.8125
0.05,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.8636363636363636,0.9142857142857143,0.890625
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.8636363636363636,0.9142857142857143,0.9375
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.8636363636363636,0.9090909090909091,0.9114583333333334
0.1,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.1,0.8636363636363636,0.9090909090909091,0.875
0.1,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.8636363636363636,0.9090909090909091,0.9375
0.05,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.8636363636363636,0.9090909090909091,0.9479166666666666
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.8636363636363636,0.9090909090909091,0.7916666666666667
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.8636363636363636,0.9090909090909091,0.9375
0.05,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8958333333333334
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.8636363636363636,0.9090909090909091,0.8958333333333334
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8541666666666667
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8802083333333334
0.1,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8636363636363636,0.9090909090909091,0.8802083333333334
0.05,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.8636363636363636,0.9090909090909091,0.8802083333333334
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8636363636363636,0.9090909090909091,0.8385416666666666
0.1,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.1,0.8636363636363636,0.9090909090909091,0.8020833333333334
0.1,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.8636363636363636,0.9090909090909091,0.8854166666666667
0.05,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8229166666666667
0.05,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.8636363636363636,0.9090909090909091,0.8645833333333334
0.05,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.8636363636363636,0.9090909090909091,0.9583333333333334
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.8636363636363636,0.9090909090909091,0.8020833333333334
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8636363636363636,0.9090909090909091,0.84375
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8636363636363636,0.9090909090909091,0.9375
0.05,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8020833333333334
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.8636363636363636,0.9090909090909091,0.8697916666666667
0.05,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.8636363636363636,0.9090909090909091,0.859375
