learning_rate,epochs,context_size,accuracy,f1_score,precision,recall,auc_roc
0.001,30.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,3.0,1.0,1.0,1.0,1.0,1.0
0.001,50.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,30.0,5.0,1.0,1.0,1.0,1.0,1.0
0.001,10.0,5.0,0.9230769230769231,0.9285714285714286,0.8666666666666667,1.0,1.0
0.05,30.0,3.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.970414201183432
0.001,10.0,3.0,0.8846153846153846,0.896551724137931,0.8125,1.0,1.0
0.05,50.0,5.0,0.8461538461538461,0.8666666666666667,0.7647058823529411,1.0,0.893491124260355
0.1,30.0,5.0,0.7307692307692307,0.7741935483870968,0.6666666666666666,0.9230769230769231,0.834319526627219
0.05,30.0,5.0,0.7307692307692307,0.7586206896551724,0.6875,0.8461538461538461,0.7514792899408284
0.1,50.0,5.0,0.7692307692307693,0.75,0.8181818181818182,0.6923076923076923,0.7810650887573964
0.1,10.0,5.0,0.6153846153846154,0.7222222222222222,0.5652173913043478,1.0,0.7218934911242603
0.05,50.0,3.0,0.6538461538461539,0.6896551724137931,0.625,0.7692307692307693,0.7988165680473372
0.05,10.0,3.0,0.5384615384615384,0.6842105263157895,0.52,1.0,0.7248520710059171
0.05,10.0,5.0,0.5384615384615384,0.6842105263157895,0.52,1.0,0.7218934911242603
0.1,30.0,3.0,0.5769230769230769,0.6451612903225806,0.5555555555555556,0.7692307692307693,0.6272189349112426
0.1,50.0,3.0,0.6538461538461539,0.64,0.6666666666666666,0.6153846153846154,0.7455621301775148
0.1,10.0,3.0,0.4230769230769231,0.5945945945945946,0.4583333333333333,0.8461538461538461,0.39644970414201186
