learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.05,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,1.0,1.0,1.0
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.8888888888888888,0.6666666666666667
0.1,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.8571428571428571,0.8888888888888888,0.9166666666666667
0.1,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.8571428571428571,0.8888888888888888,0.9166666666666667
0.1,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.1,0.8571428571428571,0.8888888888888888,0.6666666666666667
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.8571428571428571,0.8888888888888888,0.9166666666666667
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.8571428571428571,0.8888888888888888,0.9166666666666667
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.8571428571428571,0.8571428571428571,0.75
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.8571428571428571,0.8571428571428571,0.75
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8571428571428571,0.8571428571428571,0.9166666666666667
0.05,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.8571428571428571,0.75
0.05,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.8571428571428571,0.8571428571428571,0.8333333333333334
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.8571428571428571,0.8571428571428571,0.8333333333333334
0.05,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.1,0.8571428571428571,0.8571428571428571,0.8333333333333334
0.05,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.8571428571428571,0.75
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8571428571428571,0.8571428571428571,1.0
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8571428571428571,0.8571428571428571,0.75
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8571428571428571,0.8571428571428571,0.75
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.7142857142857143,0.8,0.9166666666666667
0.1,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.7142857142857143,0.8,0.5833333333333334
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.8,0.5833333333333334
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.5833333333333334
0.05,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.33333333333333337
0.05,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.7142857142857143,0.8,0.5833333333333334
0.1,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.5
0.05,30.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.7142857142857143,0.8,0.5833333333333334
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.7142857142857143,0.8,0.7916666666666667
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.7142857142857143,0.8,0.6666666666666667
0.1,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.6666666666666667
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.7142857142857143,0.8,0.5
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.5833333333333334
0.05,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.7142857142857143,0.8,0.5
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.4166666666666667
0.1,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7142857142857143,0.8,0.75
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.7142857142857143,0.8,0.5
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.7142857142857143,0.8,1.0
0.05,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.7142857142857143,0.8,0.5
0.05,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.625
0.1,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.7142857142857143,0.8,0.5833333333333334
0.1,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.8,0.7083333333333334
0.1,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.7142857142857143,0.75,0.9166666666666667
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.75,0.5833333333333334
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.7142857142857143,0.75,0.7500000000000001
0.1,10.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.7142857142857143,0.75,0.625
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.7142857142857143,0.75,0.7500000000000001
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.75,0.5
0.1,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7142857142857143,0.75,0.75
0.05,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.75,0.5833333333333334
0.1,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.2,0.7142857142857143,0.75,0.5833333333333334
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.75,0.75
0.1,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.75,0.75
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.7142857142857143,0.75,0.75
0.05,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7142857142857143,0.75,0.9166666666666667
0.1,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.7142857142857143,0.75,0.5833333333333334
0.1,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.7142857142857143,0.75,0.6666666666666667
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.75,0.9166666666666667
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.7142857142857143,0.75,0.5
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7142857142857143,0.75,0.5833333333333334
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.7142857142857143,0.75,0.75
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.5714285714285714,0.7272727272727273,0.41666666666666663
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.5714285714285714,0.7272727272727273,0.6666666666666667
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.5714285714285714,0.7272727272727273,0.5833333333333333
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.5714285714285714,0.7272727272727273,0.3333333333333333
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.5714285714285714,0.7272727272727273,0.5
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.5714285714285714,0.7272727272727273,0.16666666666666669
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.5714285714285714,0.7272727272727273,0.5833333333333334
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.5714285714285714,0.7272727272727273,0.6666666666666667
0.1,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.5714285714285714,0.7272727272727273,0.5833333333333334
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.5714285714285714,0.7272727272727273,0.41666666666666663
0.05,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.5714285714285714,0.7272727272727273,0.75
0.1,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.5714285714285714,0.7272727272727273,0.41666666666666663
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.5714285714285714,0.7272727272727273,0.8333333333333334
