learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.9444444444444444,0.8,1.0
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.9444444444444444,0.8,0.9375
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.1,0.9444444444444444,0.6666666666666666,0.96875
0.001,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.8888888888888888,0.6666666666666666,0.875
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.9444444444444444,0.6666666666666666,0.84375
0.05,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9444444444444444,0.6666666666666666,0.5625
0.05,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.8333333333333334,0.5714285714285714,0.90625
0.05,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.8333333333333334,0.5714285714285714,0.9375
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.8333333333333334,0.5714285714285714,0.84375
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.8888888888888888,0.5,0.75
0.001,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.8888888888888888,0.5,0.875
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.8888888888888888,0.5,0.84375
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7777777777777778,0.5,0.8125
0.001,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.7777777777777778,0.5,0.84375
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8888888888888888,0.5,0.78125
0.05,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.8888888888888888,0.5,0.78125
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.8888888888888888,0.5,0.75
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.8888888888888888,0.5,0.65625
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.8888888888888888,0.5,0.78125
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.8888888888888888,0.5,0.84375
0.1,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8888888888888888,0.5,0.625
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.8888888888888888,0.5,0.8125
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8888888888888888,0.5,0.8125
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8888888888888888,0.5,0.5625
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.7777777777777778,0.5,0.75
