learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.92,0.9259259259259259,0.9631410256410255
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.9,0.9090909090909091,0.9407051282051282
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.9,0.9090909090909091,0.9663461538461537
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.9,0.9090909090909091,0.967948717948718
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9,0.9056603773584906,0.9551282051282051
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9,0.9056603773584906,0.9567307692307693
0.001,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.88,0.8928571428571429,0.9310897435897436
0.001,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.88,0.8928571428571429,0.9663461538461539
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.88,0.8928571428571429,0.9695512820512819
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.88,0.8928571428571429,0.9631410256410257
0.001,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.88,0.8928571428571429,0.967948717948718
0.001,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.88,0.8888888888888888,0.9599358974358975
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.88,0.8888888888888888,0.9391025641025641
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.88,0.8888888888888888,0.9583333333333335
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.88,0.8888888888888888,0.9599358974358974
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.88,0.8888888888888888,0.9503205128205129
0.001,30.0,3.0,128.0,3.0,1.0,0.2,0.2,0.1,0.88,0.8888888888888888,0.9567307692307693
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.88,0.8888888888888888,0.9487179487179488
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.88,0.8888888888888888,0.951923076923077
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.88,0.8846153846153846,0.9583333333333333
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.88,0.8846153846153846,0.951923076923077
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.88,0.8846153846153846,0.9599358974358975
0.001,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.86,0.8813559322033898,0.9567307692307692
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.86,0.8771929824561403,0.953525641025641
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.86,0.8771929824561403,0.967948717948718
0.001,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.86,0.8771929824561403,0.9695512820512819
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.86,0.8771929824561403,0.9455128205128205
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.1,0.86,0.8771929824561403,0.9695512820512819
0.001,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.86,0.8771929824561403,0.9647435897435898
0.001,10.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.86,0.8771929824561403,0.9615384615384616
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.86,0.8771929824561403,0.9647435897435896
0.001,10.0,3.0,128.0,2.0,2.0,0.2,0.1,0.1,0.86,0.8771929824561403,0.9615384615384615
0.001,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.86,0.8771929824561403,0.9503205128205128
0.001,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.86,0.8771929824561403,0.9567307692307692
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.1,0.86,0.8771929824561403,0.9647435897435896
0.001,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.86,0.8771929824561403,0.9631410256410257
0.001,10.0,3.0,128.0,2.0,1.0,0.2,0.2,0.1,0.86,0.8771929824561403,0.9583333333333333
0.001,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.86,0.8771929824561403,0.9631410256410257
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.86,0.8771929824561403,0.9583333333333334
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.86,0.8771929824561403,0.9407051282051282
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.86,0.8771929824561403,0.9519230769230769
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.86,0.8727272727272727,0.9599358974358974
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.1,0.86,0.8727272727272727,0.9551282051282052
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.2,0.1,0.86,0.8727272727272727,0.9567307692307692
0.001,30.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.86,0.8727272727272727,0.9519230769230769
0.001,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.1,0.86,0.8727272727272727,0.951923076923077
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.86,0.8727272727272727,0.9455128205128206
0.001,10.0,5.0,64.0,3.0,2.0,0.1,0.1,0.1,0.86,0.8727272727272727,0.9551282051282051
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.1,0.86,0.8727272727272727,0.9599358974358975
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.1,0.86,0.8727272727272727,0.9631410256410255
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.86,0.8727272727272727,0.9487179487179487
