learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.05,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.6451612903225806,0.6597938144329897,0.7803030303030303
0.05,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.7096774193548387,0.6582278481012658,0.794949494949495
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.1,0.7204301075268817,0.6578947368421053,0.7702020202020202
0.1,30.0,5.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7204301075268817,0.6578947368421053,0.7747474747474747
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.7311827956989247,0.6575342465753424,0.7772727272727272
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.7741935483870968,0.6557377049180327,0.7833333333333334
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.7741935483870968,0.6557377049180327,0.7848484848484848
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.7849462365591398,0.6551724137931034,0.7924242424242424
0.05,30.0,3.0,64.0,2.0,2.0,0.1,0.2,0.2,0.6344086021505376,0.6530612244897959,0.7818181818181819
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.6881720430107527,0.6506024096385542,0.7707070707070707
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.1,0.6989247311827957,0.65,0.7883838383838384
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.7096774193548387,0.6493506493506493,0.7813131313131313
0.05,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7096774193548387,0.6493506493506493,0.7858585858585859
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.7204301075268817,0.6486486486486487,0.7818181818181817
0.1,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7204301075268817,0.6486486486486487,0.7954545454545454
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.7311827956989247,0.647887323943662,0.7868686868686869
0.05,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.6344086021505376,0.6458333333333334,0.7787878787878788
0.1,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6559139784946236,0.6444444444444445,0.7934343434343434
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.6559139784946236,0.6444444444444445,0.7696969696969697
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6559139784946236,0.6444444444444445,0.7898989898989899
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6666666666666666,0.6436781609195402,0.7707070707070708
0.05,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.6881720430107527,0.6419753086419753,0.7752525252525253
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.6881720430107527,0.6419753086419753,0.742929292929293
0.05,30.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.6881720430107527,0.6419753086419753,0.7747474747474749
0.05,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.6989247311827957,0.6410256410256411,0.8116161616161617
0.1,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.6989247311827957,0.6410256410256411,0.7818181818181819
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6989247311827957,0.6410256410256411,0.7727272727272727
0.05,10.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.6129032258064516,0.64,0.7757575757575758
0.05,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.6236559139784946,0.6391752577319587,0.7565656565656567
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.7204301075268817,0.6388888888888888,0.7808080808080807
0.1,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.6344086021505376,0.6382978723404256,0.7808080808080808
0.05,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.1,0.7311827956989247,0.6376811594202898,0.7782828282828282
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.7311827956989247,0.6376811594202898,0.7777777777777778
0.05,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6451612903225806,0.6373626373626373,0.7747474747474747
0.05,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.7419354838709677,0.6363636363636364,0.7611111111111111
0.1,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.6352941176470588,0.7722222222222221
0.1,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.6666666666666666,0.6352941176470588,0.7797979797979798
0.05,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.1,0.6666666666666666,0.6352941176470588,0.7772727272727273
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.6666666666666666,0.6352941176470588,0.7909090909090909
0.05,30.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.6666666666666666,0.6352941176470588,0.7994949494949495
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.2,0.7526881720430108,0.6349206349206349,0.7883838383838384
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.6774193548387096,0.6341463414634146,0.7813131313131313
0.05,30.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.6021505376344086,0.6336633663366337,0.7762626262626262
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.1,0.6021505376344086,0.6336633663366337,0.7550505050505051
0.05,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.6881720430107527,0.6329113924050633,0.7828282828282829
0.05,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.6881720430107527,0.6329113924050633,0.7878787878787878
0.1,30.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.6881720430107527,0.6329113924050633,0.7823232323232323
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.2,0.2,0.6881720430107527,0.6329113924050633,0.7671717171717172
0.05,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.6129032258064516,0.6326530612244898,0.7737373737373737
0.05,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.6129032258064516,0.6326530612244898,0.7883838383838385
0.05,30.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.6989247311827957,0.631578947368421,0.7792929292929293
