learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9047619047619048,0.9166666666666666,0.9467592592592593
0.001,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.8809523809523809,0.8936170212765957,0.9398148148148149
0.001,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.1,0.8809523809523809,0.8936170212765957,0.9282407407407407
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.8571428571428571,0.875,0.888888888888889
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.8571428571428571,0.875,0.8773148148148149
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.8571428571428571,0.875,0.9074074074074074
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.8571428571428571,0.875,0.9074074074074074
0.05,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.875,0.8796296296296297
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.875,0.9166666666666666
0.001,30.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.8571428571428571,0.875,0.8703703703703703
0.001,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.8571428571428571,0.875,0.9050925925925927
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.1,0.1,0.8571428571428571,0.8695652173913043,0.9490740740740741
0.001,10.0,5.0,128.0,3.0,1.0,0.2,0.1,0.1,0.8571428571428571,0.8695652173913043,0.9398148148148149
0.001,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.8571428571428571,0.8695652173913043,0.9027777777777778
0.001,10.0,5.0,64.0,3.0,1.0,0.1,0.1,0.1,0.8571428571428571,0.8695652173913043,0.8842592592592593
