learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9444444444444444,0.970873786407767,0.7775
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9444444444444444,0.970873786407767,0.87
0.1,10.0,3.0,64.0,2.0,2.0,0.1,0.2,0.1,0.9444444444444444,0.970873786407767,0.775
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9444444444444444,0.970873786407767,0.9099999999999999
0.1,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9444444444444444,0.970873786407767,0.755
0.1,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9444444444444444,0.970873786407767,0.9299999999999999
0.1,10.0,5.0,64.0,2.0,1.0,0.2,0.2,0.2,0.9444444444444444,0.970873786407767,0.895
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9444444444444444,0.970873786407767,0.8125
0.1,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.1,0.9444444444444444,0.9702970297029703,0.75
0.05,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.9444444444444444,0.9702970297029703,0.9199999999999999
0.1,10.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.78
0.1,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.7725
0.1,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8450000000000001
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.745
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.855
0.1,10.0,3.0,64.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.645
0.05,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.44
0.1,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.69
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.69
0.05,10.0,5.0,64.0,2.0,2.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.88
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.6725
0.1,10.0,3.0,64.0,3.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.69
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8799999999999999
0.1,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.955
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.885
0.1,10.0,3.0,64.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.645
0.1,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.66
0.1,10.0,5.0,64.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.865
0.1,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.6950000000000001
0.05,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.7525000000000001
0.05,10.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.7425
0.1,10.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8025
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.765
0.05,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.77
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.5725
0.1,10.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.6025
0.1,10.0,5.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.85
0.05,10.0,3.0,64.0,3.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.665
0.1,10.0,3.0,64.0,2.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.6849999999999999
0.1,10.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.83
0.05,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.835
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.945
0.1,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.885
0.1,10.0,5.0,128.0,2.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.8899999999999999
0.05,10.0,5.0,128.0,3.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.71
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.7424999999999999
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.805
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.5774999999999999
0.1,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.67
0.05,10.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.905
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.7324999999999999
0.05,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.7374999999999999
0.1,30.0,5.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.785
0.1,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.665
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.845
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.565
0.1,30.0,3.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.645
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.6799999999999999
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.73
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.2,0.9259259259259259,0.9615384615384616,0.88
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.87
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.8
0.1,10.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.805
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.895
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.635
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.675
0.1,10.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.85
0.05,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.87
0.1,10.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.47
0.1,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8500000000000001
0.1,10.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.755
0.1,30.0,5.0,128.0,2.0,2.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.6849999999999999
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9615384615384616,0.86
0.1,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.65
0.05,10.0,5.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.65
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.5625
0.1,10.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.72
0.05,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.65
0.05,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8025
0.1,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.69
0.1,10.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.5675
0.1,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.765
0.1,10.0,3.0,128.0,3.0,2.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.91
0.05,10.0,3.0,128.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.65
0.1,10.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8525
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.72
0.1,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.8200000000000001
0.05,10.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.5775
0.05,10.0,3.0,128.0,3.0,1.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.6799999999999999
0.05,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.6499999999999999
0.1,10.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.9259259259259259,0.9615384615384616,0.7675000000000001
0.1,10.0,5.0,128.0,2.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.7525
0.05,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.6799999999999999
0.1,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8599999999999999
0.1,10.0,3.0,64.0,2.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.67
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.63
0.1,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8999999999999999
0.1,10.0,5.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.835
0.1,10.0,3.0,64.0,2.0,1.0,0.1,0.1,0.2,0.9259259259259259,0.9615384615384616,0.7775
0.1,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.855
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.1,0.9259259259259259,0.9615384615384616,0.845
0.05,10.0,5.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.575
0.1,10.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.7
0.05,10.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9259259259259259,0.9615384615384616,0.6950000000000001
0.1,10.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.8699999999999999
0.1,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.77
0.1,10.0,3.0,128.0,3.0,2.0,0.2,0.2,0.2,0.9259259259259259,0.9615384615384616,0.655
0.05,10.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9607843137254902,0.69
0.05,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.1,0.9259259259259259,0.9607843137254902,0.885
0.05,10.0,5.0,64.0,3.0,1.0,0.2,0.2,0.1,0.9259259259259259,0.9607843137254902,0.8200000000000001
0.05,10.0,3.0,128.0,3.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9607843137254902,0.655
0.1,10.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.9259259259259259,0.9607843137254902,0.7825
0.1,30.0,3.0,128.0,3.0,1.0,0.2,0.1,0.2,0.9259259259259259,0.9607843137254902,0.6799999999999999
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.9259259259259259,0.9607843137254902,0.8200000000000001
0.1,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.1,0.9259259259259259,0.9607843137254902,0.565
0.1,10.0,3.0,128.0,3.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9607843137254902,0.83
0.1,10.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.9259259259259259,0.9607843137254902,0.725
0.05,10.0,3.0,128.0,2.0,1.0,0.2,0.1,0.1,0.9259259259259259,0.9607843137254902,0.7175
0.1,30.0,5.0,64.0,2.0,1.0,0.2,0.2,0.1,0.9259259259259259,0.9607843137254902,0.89
0.05,30.0,3.0,128.0,3.0,2.0,0.1,0.1,0.1,0.9259259259259259,0.9607843137254902,0.7999999999999999
