learning_rate,epochs,context_size,d_main,encoder_n_blocks,predictor_n_blocks,context_dropout,dropout0,dropout1,accuracy,f1_score,auc_roc
0.001,30.0,5.0,64.0,3.0,2.0,0.2,0.2,0.1,0.8714285714285714,0.9108910891089109,0.9465811965811965
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8571428571428571,0.9107142857142857,0.9294871794871795
0.001,30.0,5.0,128.0,2.0,2.0,0.1,0.1,0.2,0.8571428571428571,0.9107142857142857,0.8824786324786326
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.1,0.8571428571428571,0.9090909090909091,0.9155982905982906
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8571428571428571,0.9056603773584906,0.8888888888888888
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8571428571428571,0.9056603773584906,0.8942307692307693
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.1,0.2,0.8571428571428571,0.9038461538461539,0.9123931623931624
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.1,0.1,0.8428571428571429,0.9026548672566371,0.8931623931623932
0.001,30.0,5.0,64.0,2.0,1.0,0.2,0.1,0.2,0.8571428571428571,0.8979591836734694,0.9070512820512819
0.001,30.0,5.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8428571428571429,0.897196261682243,0.8920940170940171
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8428571428571429,0.897196261682243,0.9081196581196581
0.001,30.0,5.0,64.0,2.0,2.0,0.2,0.2,0.2,0.8428571428571429,0.8932038834951457,0.9027777777777778
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.2,0.8285714285714286,0.8928571428571429,0.8995726495726496
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.1,0.2,0.8285714285714286,0.8909090909090909,0.8792735042735043
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.2,0.8142857142857143,0.8888888888888888,0.9027777777777778
0.001,30.0,5.0,128.0,3.0,1.0,0.2,0.2,0.2,0.8142857142857143,0.8869565217391304,0.8942307692307693
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.1,0.8142857142857143,0.8869565217391304,0.8846153846153846
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.2,0.8142857142857143,0.8869565217391304,0.8856837606837606
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.1,0.2,0.8285714285714286,0.8867924528301887,0.9038461538461539
0.001,30.0,5.0,64.0,2.0,1.0,0.1,0.1,0.1,0.8285714285714286,0.8846153846153846,0.9059829059829059
0.001,30.0,3.0,64.0,3.0,2.0,0.2,0.2,0.2,0.8428571428571429,0.8842105263157894,0.9102564102564101
0.001,30.0,3.0,64.0,3.0,1.0,0.2,0.1,0.2,0.8142857142857143,0.8828828828828829,0.8888888888888888
0.001,30.0,5.0,64.0,3.0,1.0,0.2,0.1,0.1,0.8285714285714286,0.8823529411764706,0.8985042735042735
0.001,30.0,5.0,128.0,2.0,1.0,0.1,0.2,0.2,0.8,0.8813559322033898,0.9123931623931625
0.001,30.0,5.0,128.0,2.0,1.0,0.2,0.2,0.2,0.8,0.8813559322033898,0.9027777777777778
0.001,30.0,3.0,128.0,2.0,2.0,0.2,0.2,0.2,0.8,0.8793103448275862,0.8717948717948717
0.001,30.0,3.0,64.0,3.0,1.0,0.1,0.2,0.1,0.8142857142857143,0.8785046728971962,0.8878205128205129
0.001,30.0,3.0,64.0,2.0,2.0,0.1,0.1,0.2,0.8285714285714286,0.8775510204081632,0.8814102564102564
0.001,30.0,3.0,64.0,2.0,2.0,0.2,0.1,0.2,0.8285714285714286,0.8775510204081632,0.8717948717948718
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.1,0.2,0.8,0.8771929824561403,0.8782051282051282
0.001,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.7857142857142857,0.8717948717948718,0.8985042735042735
0.001,30.0,5.0,128.0,3.0,2.0,0.1,0.2,0.1,0.7857142857142857,0.8717948717948718,0.8739316239316239
0.001,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.2,0.8,0.8703703703703703,0.8514957264957266
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.2,0.2,0.7857142857142857,0.8695652173913043,0.891025641025641
0.1,30.0,3.0,128.0,3.0,1.0,0.1,0.2,0.1,0.7857142857142857,0.8695652173913043,0.875
0.001,30.0,3.0,64.0,2.0,1.0,0.2,0.1,0.2,0.7857142857142857,0.8695652173913043,0.8824786324786325
0.001,30.0,3.0,128.0,2.0,1.0,0.2,0.1,0.2,0.7857142857142857,0.8695652173913043,0.8782051282051282
0.001,30.0,5.0,64.0,2.0,2.0,0.1,0.1,0.2,0.8142857142857143,0.8686868686868687,0.9252136752136751
0.001,30.0,5.0,64.0,3.0,1.0,0.1,0.2,0.1,0.8142857142857143,0.8686868686868687,0.9209401709401709
0.1,30.0,5.0,64.0,2.0,1.0,0.1,0.2,0.2,0.7857142857142857,0.8672566371681416,0.8824786324786326
0.05,30.0,3.0,64.0,3.0,1.0,0.2,0.2,0.2,0.7714285714285715,0.8666666666666667,0.8600427350427349
0.001,30.0,5.0,128.0,3.0,1.0,0.1,0.1,0.2,0.7714285714285715,0.8666666666666667,0.8803418803418804
0.05,30.0,3.0,128.0,2.0,2.0,0.1,0.1,0.1,0.8142857142857143,0.865979381443299,0.861111111111111
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8142857142857143,0.865979381443299,0.8920940170940171
0.1,30.0,3.0,64.0,3.0,2.0,0.1,0.1,0.1,0.8,0.8653846153846154,0.8600427350427351
0.05,30.0,5.0,64.0,3.0,2.0,0.1,0.2,0.1,0.8,0.8653846153846154,0.8557692307692307
0.001,30.0,3.0,128.0,2.0,1.0,0.1,0.1,0.2,0.8,0.8653846153846154,0.8589743589743589
0.001,30.0,5.0,64.0,3.0,2.0,0.1,0.1,0.1,0.7714285714285715,0.864406779661017,0.8963675213675214
